楼层,房型,面积,房源地址及名称,价格,公交站距离,地铁站距离
33,3.2.1,90.0,"高新区广都梓州大道5500号,会龙路365号 中德英伦联邦(B区)",190.0,"{'应龙南一路 900米', '会龙大道 762米', '应龙南一路南 824米', '梓州大道观东二街口 289米', '梓州大道会龙大道口 401米', '应龙路 820米', '姐儿堰南 861米'}",set()
26,3.2.1,137.0,天府新区麓湖生态城田家路 麓湖生态城汀院,480.0,"{'水线公园 126米', '锦江东三线南 917米', '麓坊中心 793米', '青岛路西段口 651米'}",set()
16,3.2.2,141.95,双流棠湖金河路4199号 海棠湾,198.0,"{'涧槽中街南 379米', '白河公园南 524米', '森林公园 785米'}",set()
32,4.2.2,139.38,锦江攀成钢汇源东路99号 仁恒滨河湾(二期),570.0,"{'双桥子南 925米', '塔子山公园 730米', '地铁塔子山公园站D口 941米', '塔子山公园(BRT) 759米'}",{'东大路 383米'}
41,4.2.2,130.59,武侯科华路飞云三巷86号 绿地GIC成都中央广场(二期),436.0,"{'章灵寺(地铁川大望江校区站) 844米', '桂溪公交站 147米', '二环科华路口 335米'}",set()
16,4.2.2,133.45,"双流航空港机场路常乐二段115号,机场路常乐二段133号 温哥华南苑",185.0,"{'锦华路二段 341米', '成都棠湖外国语学校 857米', '机场路长江路口 558米', '航空港 911米', '北京华联购物中心 326米', '临港路三段西 620米'}",set()
4,7.2.6,163.12,锦江三圣乡棣棠路870号 首创娇子1号(别墅),1280.0,"{'三环路娇子立交桥西 606米', '金像寺路 640米', '成都公交停保基地 543米'}","{'娇子立交 788米', '娇子立交 635米'}"
8,3.2.2,124.56,武侯外双楠太平园东三街85号 新界三期,328.0,"{'地铁太平园站(E口) 969米', '太平园横一街 198米', '地铁太平园站 951米', '太平园中四路 787米'}",{'太平园 903米'}
43,3.2.2,116.0,高新区金融城科华南路1366号 招商大魔方玺悦,455.0,"{'高新区孵化园 512米', '地铁孵化园站 947米', '环球中心 938米', '地铁心岛站 169米'}","{'心岛 140米', '锦城广场东 859米', '孵化园 759米'}"
46,4.2.2,157.88,成华崔家店崔家店横三街36号 龙湖梵悦台,568.0,"{'崔家店 722米', '地铁东郊记忆站 512米', '建设南支路 733米'}","{'东郊记忆 642米', '杉板桥 802米'}"
33,4.2.2,130.25,"新都大丰甫家坝路358号,甫家一路66号 保利大都汇雅汇",193.0,"{'大天路东 499米', '大天路口 853米', '鲜花大院 808米', '甫家一路口 485米'}",{'大天路 563米'}
18,3.2.2,186.95,高新区城南宜家盛和三路81号 公馆1881,542.0,"{'新南天地 720米', '盛和一路西 993米'}",{'石羊立交 843米'}
6,4.2.2,147.66,新都新都新城区毗河东路6号 万科双水岸,178.0,"{'厚诚路 956米', '绕城大道厚诚路口 806米', '物流大道蓉都大道路口 641米', '蓉都大道物流大道路口 552米'}",set()
6,4.2.2,147.66,新都新都新城区毗河东路6号 万科双水岸,180.0,"{'厚诚路 956米', '绕城大道厚诚路口 806米', '物流大道蓉都大道路口 641米', '蓉都大道物流大道路口 552米'}",set()
33,4.2.2,136.76,新都斑竹园慕云路188号 华润琨瑜府,176.0,"{'北欧知识城 756米', '琨瑜府 336米', '北星大道新竹大道口 807米'}",set()
6,4.2.2,148.0,金牛国宾蜀跃路6号 普罗旺斯,215.0,"{'育仁西路口 666米', '茶店子公交站 389米', '育仁公交站 966米', '羊犀立交北 450米', '羊犀立交西 583米', '茶店子客运站 520米', '茶店子公交枢纽站 386米'}",{'茶店子客运站 522米'}
