楼层,房型,面积,房源地址及名称,价格,公交站距离,地铁站距离
31,2.2.1,69.0,"锦江沙河堡上沙河铺街789号,上沙河铺街569号 华宇广场",129.0,"{'川师成教院 562米', '地铁塔子山公园站D口 868米', '上沙河铺路 109米'}",{'塔子山公园 792米'}
33,4.2.2,143.0,天府新区锦江生态带瑞祥东街1788号 中粮观澜祥云,285.0,{'田家寺 920米'},set()
44,4.2.3,240.0,锦江九眼桥宏顺街160号 新希望D10天府,1250.0,"{'双桥子 886米', '经华南路 908米', '水碾河路 754米', '牛市口 752米', '天府通(牛市口店) 948米', '陈家巷 317米'}",{'牛王庙 527米'}
34,4.2.2,142.0,天府新区南湖南湖西路175号 南湖国际社区(南区),210.0,"{'地铁二江寺站 873米', '南湖南路中 454米', '南湖北路北 855米'}",{'二江寺 759米'}
22,4.2.2,141.25,双流航空港黄河中路二段36号 圣菲TOWN城,230.0,"{'水电研究所 489米', '临港路三段 784米', '珠江路临港路口 685米'}","{'谢家渡 407米', '珠江路 447米'}"
18,3.2.2,117.0,新都石油大学蓉都大道南一段333号 香城名都,120.0,"{'南门桥① 884米', '地铁马超西路站 772米', '南河湾 429米', '钟楼 612米', '正德小学 972米', '新都花园 883米', '小花园 729米', '七一国际广场 337米', '地铁钟楼站 653米', '新都花园二期 527米'}","{'钟楼 647米', '马超西路 962米'}"
16,4.2.2,139.14,双流棠湖银河路五段180号 蓝润城(一期),225.0,"{'国芯五街东 717米', '双流规划展览馆 584米', '国芯大道南 927米', '丰乐东街 947米'}",set()
32,5.2.2,158.31,龙泉驿大面驿都西路3666号 炜岸城,309.0,"{'公园路口 576米', '龙城一号南大门 980米', '大面小学 747米', '大面铺 650米', '大面镇 202米', '南巷子 492米', '天鹅湖小学 621米', '天鹅西湖南路 790米'}",set()
33,4.2.2,136.76,新都斑竹园慕云路188号 华润琨瑜府,176.0,"{'北欧知识城 756米', '琨瑜府 336米', '北星大道新竹大道口 807米'}",set()
8,4.2.2,132.57,新都三河栖羽路36号 中洲中央公园蓝湖郡,178.0,"{'二台子小区 989米', '二台子蜀龙路口 912米', '保利198公园 419米', '回龙环路 596米', '回龙社区 790米', '回龙路 745米'}",set()
49,4.1.2,127.5,天府新区锦江生态带祥鹤三街468号 中海锦江城云璟,228.0,"{'沈阳路瑞祥东街口 870米', '祥鹤二街中 647米', '瑞祥路 595米', '鹤林公交站 784米', '天府鹤林东 206米', '祥鹤公交站 775米'}",set()
26,3.2.2,123.84,彭州彭州城区回龙西路61号 置信逸都丹郡F区,110.0,"{'鸿运星城(南门) 353米', '鸿运星城(西门) 348米', '棕树林 897米', '朋城远界(南门) 502米', '鸿运星城(北门) 24米', '置信F区 263米'}",set()
18,4.2.3,121.89,"崇州崇州城区公园大道118号,公园大道8号 上林西江国际社区",115.8,"{'公园大道(上林西江西门) 195米', '锦绣天居 371米', '滨江路北一段 524米', '西河大道(西江悦) 719米'}",set()
6,4.3.3,191.0,龙泉驿大面驿都西路3666号 炜岸城,320.0,"{'公园路口 576米', '龙城一号南大门 980米', '大面小学 747米', '大面铺 650米', '大面镇 202米', '南巷子 492米', '天鹅湖小学 621米', '天鹅西湖南路 790米'}",set()
20,4.2.2,111.13,双流文星西航港新街789号 景茂雍水岸,189.0,"{'文星广场 868米', '川大南路二段 658米', '川大南路一段 831米', '长城路二段中 873米'}",set()
33,4.2.2,111.76,新都大丰赵家寺路386号 保利春天花语,158.0,"{'地铁大丰B口站 649米', '地铁杜家碾站D2口 795米', '地铁大丰站A口 356米', '地铁杜家碾站 854米', '地铁杜家碾站(A2口) 852米', '凤凰山体育公园 969米', '蚕丛路小学 997米', '地铁大丰C口站 553米'}","{'大丰 503米', '杜家碾(凤凰山体育公园西) 680米', '杜家碾(凤凰山体育公园西) 702米'}"
33,3.2.1,88.52,新都石油大学万和北路8号 润扬北城1号,96.0,"{'北欧印象 760米', '西南石油大学 669米', '地铁石油大学站 294米', '地铁成都医学院站 734米', '缤纷时代广场 991米', '邑品天都 230米', '地铁成都医学院站 897米', '兴乐北路 727米'}","{'石油大学 339米', '成都医学院 760米'}"
4,4.2.2,153.02,青羊万家湾导航路910号 正成艺墅洋房,229.0,"{'文家路口 897米', '导航路口 205米'}",set()
33,3.2.2,113.72,"郫都郫筒望丛西路299号,梨园路一段118号 华侨凤凰国际城",109.8,"{'西外街 528米', '郫都区客运中心 329米', '郫都区客运中心 404米', '梨园路二环路口 303米', '鹃城村六组 977米', '郫花路口 624米', '梨园路 586米'}","{'郫县西站 548米', '梨园路 401米'}"
16,3.2.1,93.96,青白江凤凰新城华金大道三段61号 学府雅园,60.0,"{'大弯中学北 668米', '大弯小学 646米', '大弯中学北 612米', '至佳学校 817米', '大弯东路东 666米', '凤凰西二路南 988米'}",set()
33,3.2.2,113.58,天府新区南湖南湖大道333号 远大中央公园,208.0,"{'南湖大道南 259米', '南湖南路中 947米', '美岸路二段 400米', '美岸路东 878米', '南湖大道中 262米', '绿野路三段 573米'}",set()
15,4.2.2,141.0,双流棠湖涧槽中街188号 香楠国际,235.0,"{'一杆旗南街 963米', '白河路四段 798米', '涧槽中街北 332米'}",set()
30,2.2.1,104.65,"金牛一品天下一品天下大街399号,茶店子正街18号 西城公馆",190.0,"{'蜀蓉路公交站 972米', '地铁茶店子站 384米'}",{'茶店子 354米'}
6,4.2.3,141.43,双流牧马山大件路1089号 华新锦绣尚郡,208.0,"{'大件路南寿街口 421米', '大件路应天寺路口 566米', '地铁双流西站 999米', '应天寺 874米'}",{'双流西站 914米'}
11,3.2.2,116.99,成华火车东站东虹路58号 尚东美林二区,175.0,{'赖家坡三路口 198米'},set()
4,5.4.6,188.6,双流东升镇航都大街99号 国奥村(别墅),499.0,"{'区一医院(空港医院) 710米', '白衣上街二段南 593米'}",set()
16,4.2.2,150.11,武侯簇桥万虹路51号 金科博翠府,556.0,"{'太平园中四路 628米', '地铁川藏立交站 156米', '武侯立交南 780米', '千龙路聚萃街口 341米'}",{'川藏立交 209米'}
15,4.2.2,117.8,双流东升镇宜城大街一段333号 富豪三里花城,189.0,"{'三里坝 773米', '地铁三里坝站 99米'}",{'三里坝 100米'}
11,5.1.3,154.03,双流东升镇航空路东段6号 远大林语城北苑,285.0,"{'葛陌村 391米', '航港路三段 419米', '棠湖中学实验学校(东区) 642米'}",set()
30,4.4.3,205.0,成华万年场双成三路17号 华润紫云府,698.0,"{'双桥子公交站 848米', '联合小区 641米', '地铁万年场站 398米', '成洛路公交站 978米', '万年场 725米', '双桥子北 554米'}","{'双桥路 513米', '万年场 337米'}"
48,3.2.2,117.0,天府新区锦江生态带天府大道南段2716号 恒大天府半岛四期,197.0,"{'牧华路三段东 785米', '绿野路四段北 964米', '江畔路中 263米'}",set()
17,3.2.2,140.98,"郫都犀浦锦宁巷60号,华都大道76号 欣茂西郡兰庭A区",145.0,"{'天府路南 637米', '学园路 702米', '校园路公交站 955米', '天府路中段 392米', '地铁兴业北街站 464米', '犀浦快铁站 850米', '犀浦公交站 753米', '犀浦 898米'}","{'犀浦 988米', '交大兴业北街 416米', '龙吟 793米', '交大犀浦校区 426米'}"
