楼层,房型,面积,房源地址及名称,价格,公交站距离,地铁站距离
33,3.2.2,112.0,双流华府剑南大道南段2688号 中海右岸(一期),205.0,"{'地铁南湖立交站 669米', '顺兴路和顺路口 613米', '地铁二江寺站 632米'}","{'二江寺 991米', '南湖立交 679米'}"
30,4.2.2,183.44,高新区金融城锦城大道1288号 西派国际,899.0,"{'剑南大道北段 735米', '地铁锦城大道站(D口) 72米', '锦尚西三路 789米'}","{'锦城大道 235米', '交子大道 831米'}"
46,4.2.2,157.88,成华崔家店崔家店横三街36号 龙湖梵悦台,568.0,"{'崔家店 722米', '地铁东郊记忆站 512米', '建设南支路 733米'}","{'东郊记忆 642米', '杉板桥 802米'}"
32,3.2.1,66.05,双流华府牧华路三段999号 德商华府天骄,147.9,"{'华府大道怡心湖 983米', '顺高路 678米', '华府大道牧华路口 275米', '牧华路华府大道口 487米', '剑和路一段西 245米', '华府大道牧华路口站 735米'}",set()
32,3.2.2,161.0,金牛茶店子茶店子西街6号 德商新希望国宾锦麟天玺,585.0,"{'地铁茶店子站 695米', '金牛立交 945米'}","{'金牛公园 723米', '茶店子 721米'}"
31,4.2.2,169.48,高新区金融城万象南路199号 中海九号公馆,780.0,"{'地铁锦城大道站(D口) 659米', '锦尚西三路 500米', '剑南大道北段中 403米', '剑南大道北段 141米', '地铁锦城大道站(B口) 783米'}","{'锦城大道 777米', '交子大道 422米'}"
31,4.2.2,127.11,双流华府牧华路1111号 九龙仓时代上城,248.0,"{'华府大道牧华路口 606米', '剑和路一段西 509米', '华府大道牧华路口站 939米', '牧华路华府大道口 791米'}",{'南湖立交 997米'}
23,4.2.4,283.38,成华火车东站白龙江路333号 德商迎晖天玺,990.0,"{'地铁塔子山公园站D口 971米', '塔子山公园(北门) 830米', '迎晖路(BRT) 641米', '五桂桥公交站 358米', '成都东站西广场 918米', '五桂桥(BRT) 331米'}",{'塔子山公园 981米'}
18,4.2.3,189.0,高新区城南宜家盛和三路81号 公馆1881,480.0,"{'新南天地 720米', '盛和一路西 993米'}",{'石羊立交 843米'}
30,4.2.3,177.0,高新区金融城交子大道998号 润富国际花园,870.0,"{'市一医院 841米', '剑南大道北段 340米', '府城大道市一医院 976米', '锦尚西三路 798米', '剑南大道北段中 191米', '地铁锦城大道站(D口) 995米'}","{'市一医院 862米', '交子大道 255米'}"
29,4.2.3,195.0,高新区金融城锦城大道1288号 西派国际,850.0,"{'剑南大道北段 735米', '地铁锦城大道站(D口) 72米', '锦尚西三路 789米'}","{'锦城大道 235米', '交子大道 831米'}"
34,4.2.2,115.23,"双流华府华府大道三段268号,华府大道三段869号 万锦城",190.0,"{'顺高路 526米', '剑和路一段西 598米', '顺兴路二段 705米', '顺兴路三段 722米', '华府大道万顺路口 200米', '华府大道牧华路口 847米', '顺兴路和顺路口 943米', '长牧路北 576米'}",set()
31,4.2.2,188.62,锦江三圣乡栀子街918号 德商锦江天玺,726.9,"{'三圣乡政府 850米', '花博路口 830米', '白桦林路中 537米', '曾家坡公交站 891米', '椰树街 600米', '银杏大道海棠路口 771米', '华西第二医院锦江院区 263米', '成龙大道银木街口 263米'}","{'幸福梅林 960米', '三圣花乡 355米'}"
26,4.2.3,230.0,高新区金融城近慈路66号 中大文儒德,1700.0,"{'锦尚西三路 437米', '剑南大道北段 632米', '剑南大道北段中 917米', '地铁锦城大道站(D口) 487米'}","{'交子大道 943米', '锦城大道 650米'}"
30,3.2.4,307.55,锦江攀成钢通盈街88号 绿地锦天府,1119.0,"{'莲桂南路 779米', '二环成仁公交站 939米', '莲花一区 721米', '莲花小区 234米'}","{'三官堂 918米', '净居寺 969米', '净居寺 993米'}"
22,4.3.4,298.0,"青羊外金沙清波路77号,蜀鑫路51号 华润金悦湾",880.0,{'清波公交站 532米'},"{'金沙滨河公园 750米', '蜀鑫路 506米'}"
29,4.2.3,195.0,高新区金融城锦城大道1288号 西派国际,900.0,"{'剑南大道北段 735米', '地铁锦城大道站(D口) 72米', '锦尚西三路 789米'}","{'锦城大道 235米', '交子大道 831米'}"
27,4.2.3,197.56,成华杉板桥杉板桥路199号 保利康桥,670.0,"{'建设南支路 366米', '建设南路口(BRT) 613米', '麻石桥 612米'}",{'杉板桥 232米'}
16,3.2.2,142.0,天府新区麓山麓山大道二段20号附17号 麓山国际半月湾,300.0,"{'麓山大道二段 939米', '地铁麓山大道站 577米', '金安西路 951米', '麓山大道万安路口 686米', '地铁麓山大道站(C3口) 434米', '遂州路口 711米', '地铁麓山大道站(C2口) 425米'}",{'麓山大道 517米'}
3,6.2.4,329.83,郫都犀浦国宁东路991号 成都后花园1期,1200.0,"{'金粮路华都路口 490米', '侯家公交站(盛发街) 900米', '全兴路中 878米', '地铁侯家桥站 602米', '犀浦东站 993米', '陈家桅街 734米'}",{'侯家桥 605米'}
50,4.2.3,237.0,锦江春熙路义学巷60号 恒大都汇华庭,690.0,"{'芷泉街 890米', '春熙路步行街南 780米', '太古里 583米', '义学巷口 145米', '东风大桥 820米', '春熙路 739米', '东门大桥 214米'}","{'新南门 991米', '新南门 936米', '春熙路 548米', '东门大桥 653米'}"
33,4.2.2,157.49,双流华府剑南大道南段2688号 中海右岸(一期),303.0,"{'地铁南湖立交站 669米', '顺兴路和顺路口 613米', '地铁二江寺站 632米'}","{'二江寺 991米', '南湖立交 679米'}"
27,4.2.4,276.33,高新区金融城锦城大道1288号 西派国际,1500.0,"{'剑南大道北段 735米', '地铁锦城大道站(D口) 72米', '锦尚西三路 789米'}","{'锦城大道 235米', '交子大道 831米'}"
30,5.2.3,248.9,高新区金融城万象南路199号 中海九号公馆,1450.0,"{'地铁锦城大道站(D口) 659米', '锦尚西三路 500米', '剑南大道北段中 403米', '剑南大道北段 141米', '地铁锦城大道站(B口) 783米'}","{'锦城大道 777米', '交子大道 422米'}"
26,3.2.2,171.85,锦江攀成钢汇源东路88号 仁恒滨河湾(一期),630.0,"{'塔子山公园(BRT) 532米', '双桥子南 869米', '双桥子公交站 958米', '地铁塔子山公园站D口 962米'}",{'东大路 586米'}
28,2.2.1,91.0,"简阳城东新区公园后街17号,江月街51号,银安街33号,银安街57号 海上花园",60.0,"{'北门桥 642米', '音乐广场 459米', '大十字 971米'}",set()
11,5.1.3,154.03,双流东升镇航空路东段6号 远大林语城北苑,285.0,"{'葛陌村 391米', '航港路三段 419米', '棠湖中学实验学校(东区) 642米'}",set()
