楼层,房型,面积,房源地址及名称,价格,公交站距离,地铁站距离
18,4.2.2,143.0,"金牛欢乐谷西华大道9号,华丰路66号 华侨城纯水岸二期",390.0,{'地铁西华大道站 424米'},"{'青杠 762米', '西华大道 594米'}"
19,3.2.2,156.25,青羊万家湾成飞大道南段199号 凯德风尚,286.0,"{'光华东二路 633米', '光华东三路中 962米', '万家湾公交中心站 961米', '光华南三路 869米', '万家湾公交站 993米', '地铁中坝站 912米', '凯德风尚 154米', '光华东四路 683米', '光华大道光华北三路口 653米'}",{'中坝 968米'}
34,3.2.1,92.0,高新区广都锦龙街99号 锦龙云府,188.0,"{'地铁四河站 697米', '龙灯山路口 728米', '梓州大道劲松社区 782米', '地铁广都站 533米'}","{'四河 702米', '广都 432米'}"
35,5.2.3,155.5,青羊贝森东坡路339号 凯旋天际湾,580.0,"{'瑞联路中 741米', '瑞联路西 946米'}",{'万寿桥 338米'}
33,4.2.2,141.7,锦江沙河堡二郎山路66号 塔子山壹号,407.0,"{'地铁塔子山公园站D口 355米', '上沙河铺路 479米'}",{'塔子山公园 272米'}
32,3.2.1,91.61,锦江攀成钢汇泉东路88号 天誉南庭,345.0,"{'双桥子南 980米', '莲花小区 823米'}","{'东大路 377米', '牛市口 651米'}"
33,3.2.1,79.0,锦江川师锦绣大道3688号 华润凯旋天地,153.0,"{'赖家新桥 954米', '大观堰 915米', '海桐街 592米', '国槐街 531米'}",{'狮子山 760米'}
35,3.2.2,84.88,高新区远大天府大道南段345号 锐力领峰,103.0,"{'华府大道一段东 597米', '地铁华府大道站(C1口) 186米', '姐儿堰南 654米', '地铁华府大道站 240米', '会龙大道 475米'}",{'华府大道 242米'}
16,3.2.2,88.14,高新区神仙树紫荆西路6号 神仙树大院,160.0,"{'高棚子 430米', '地铁神仙树站 813米'}","{'神仙树 820米', '九兴大道 980米'}"
28,6.2.3,233.36,"金牛国宾金耀路165号,迎宾大道165号 恒大西锦城",420.0,"{'金牛立交南 954米', '茶店子公交枢纽站 563米', '羊犀立交北 980米', '茶店子公交站 624米', '茶店子客运站 669米', '金牛宾馆 933米'}","{'茶店子客运站 544米', '迎宾大道 563米'}"
6,4.2.2,148.0,金牛国宾蜀跃路6号 普罗旺斯,215.0,"{'育仁西路口 666米', '茶店子公交站 389米', '育仁公交站 966米', '羊犀立交北 450米', '羊犀立交西 583米', '茶店子客运站 520米', '茶店子公交枢纽站 386米'}",{'茶店子客运站 522米'}
28,4.3.2,168.0,"金牛国宾金耀路165号,迎宾大道165号 恒大西锦城",252.0,"{'金牛立交南 954米', '茶店子公交枢纽站 563米', '羊犀立交北 980米', '茶店子公交站 624米', '茶店子客运站 669米', '金牛宾馆 933米'}","{'茶店子客运站 544米', '迎宾大道 563米'}"
39,3.2.2,107.32,锦江三圣乡玫瑰街7号 绿地468云玺四期,268.0,"{'地铁洪河站 380米', '银杏大道驿都大道路口 786米', '洪河公交站 296米', '洪河大道中路南 932米', '锦江大道北 573米'}",{'洪河 430米'}
18,3.2.2,109.27,青羊外金沙蜀鑫东路51号 保利金香槟,220.0,"{'清波社区 742米', '清波农贸市场 754米', '清江西路 920米', '清波公交站 999米', '苏坡立交北 566米'}",{'清江西路 956米'}
6,6.3.3,243.5,金牛五块石五福桥东路229号 龙湖北城天街(二期),470.0,{'九里堤东路福源路口 876米'},"{'王贾桥 969米', '五块石 431米', '福宁路 712米'}"
11,4.2.2,131.0,金牛天回镇天龙大道909号 保利天和,295.0,"{'天龙南二路 559米', '天龙大道天龙南二路口 399米', '天龙大道天音路口 357米'}","{'九道堰(凤凰山体育公园东) 983米', '幸福桥 608米'}"
18,3.2.2,102.66,金牛国宾兴科北路8号 正成拉斐,158.0,"{'金科中路口 387米', '地铁金科北路站(B口) 804米', '金科南二路 583米', '金科南路东 150米', '地铁金科北路站 755米'}","{'金周路 526米', '金科北路 822米'}"
22,1.1.1,59.0,金牛国宾金谷三路46号 国宾时光汇,99.0,"{'地铁金科北路站 328米', '侯家小区路口 906米', '金科中路口 677米', '土桥 302米', '地铁金科北路站(B口) 475米'}",{'金科北路 351米'}
18,4.2.2,141.5,锦江静居寺净居寺路22号 绿野天城,288.0,"{'地铁净居寺站 197米', '净居寺二环路口 778米'}","{'净居寺 365米', '净居寺 218米'}"
32,3.2.2,153.5,金牛金牛万达肖三南巷78号 金牛万达广场c组团,398.0,"{'火车北站公交站 696米', '火车北站东(BRT) 710米', '人民北路 270米'}","{'火车北站 840米', '火车北站 865米', '人民北路 486米'}"
1,6.3.4,309.81,青羊金沙蜀辉路318号 中海金沙府(别墅),1280.0,set(),"{'羊犀立交 978米', '金沙滨河公园 533米', '黄忠 277米'}"
33,2.2.1,69.0,"金牛金牛万达北站西二路1号,一环路北二段9号 炎华置信花千集",163.0,"{'地铁人民北路站 729米', '西体北路北 792米', '人民北路 765米'}",{'人民北路 689米'}
13,4.2.2,161.0,青羊金沙金阳路152号 金沙云庭,528.0,"{'清江西路 923米', '金沙遗址站 776米', '青羊大道双锦路口 967米'}","{'金沙滨河公园 796米', '清江西路 907米', '黄忠 947米', '金沙博物馆 949米'}"
25,3.2.1,83.0,新都斑竹园兴贸路333号 源上湾万融城三期D区,113.0,"{'海宁皮革城 812米', '柏水小区 711米', '北星大道兴贸大道口 729米', '柏云村 862米', '地铁柏水场站 653米', '北欧知识城 984米'}","{'柏水场 916米', '廖家湾 553米'}"
31,3.2.2,131.28,锦江攀成钢汇源北路99号 天誉,420.0,"{'双桥子北 965米', '塔子山公园 705米', '塔子山公园(BRT) 773米', '双桥子南 560米', '双桥子公交站 711米'}","{'牛市口 712米', '东大路 456米'}"
6,2.2.1,69.0,金牛抚琴小区抚琴东南路8号 抚琴东南路8号院,111.0,"{'花牌坊街 833米', '西门车站 952米', '永陵公园 631米'}",{'抚琴 437米'}
11,4.2.2,136.78,金牛国宾清蓉路399号 保利两河森林,345.0,"{'马家场 890米', '新天路 838米'}",{'土龙路 762米'}
24,4.2.2,122.55,青羊万家湾光华南三路88号 万科金色领域,230.0,"{'光华东三路中 568米', '光华东五路中 863米', '万家湾 305米', '光华大道一段东 734米', '凯德风尚 837米', '万家湾公交站 437米', '光华东四路 376米', '地铁中坝站 714米', '光华大道光华北三路口 349米', '光华东二路 900米', '万家湾公交中心站 351米'}","{'中坝 762米', '万家湾 578米'}"
18,3.2.2,116.7,青羊贝森贝森路216号 双玺,268.0,"{'清江西路 740米', '清江西路中 772米', '三环路苏坡立交桥 397米', '苏坡立交北 862米', '瑞联路中 698米', '苏坡立交南 758米'}",{'清江西路 737米'}
16,3.2.1,86.5,金牛国宾兴科北路8号 正成拉斐,173.0,"{'金科中路口 387米', '地铁金科北路站(B口) 804米', '金科南二路 583米', '金科南路东 150米', '地铁金科北路站 755米'}","{'金周路 526米', '金科北路 822米'}"
24,3.2.1,87.14,青羊万家湾光华南三路88号 万科金色领域,152.0,"{'光华东三路中 568米', '光华东五路中 863米', '万家湾 305米', '光华大道一段东 734米', '凯德风尚 837米', '万家湾公交站 437米', '光华东四路 376米', '地铁中坝站 714米', '光华大道光华北三路口 349米', '光华东二路 900米', '万家湾公交中心站 351米'}","{'中坝 762米', '万家湾 578米'}"
32,3.2.1,87.03,"锦江沙河堡上沙河铺街789号,上沙河铺街569号 华宇广场",166.0,"{'川师成教院 562米', '地铁塔子山公园站D口 868米', '上沙河铺路 109米'}",{'塔子山公园 792米'}
32,6.2.3,281.86,锦江锦江周边楠丰路233号 新希望锦官府,780.0,"{'琉璃立交东 636米', '锦江大道锦阳大道口 931米', '三环路琉璃立交桥南 869米', '城东客运中心 739米', '皇经楼西路 548米', '锦江大道琉新路口 352米', '锦江大道榕声路口 693米'}",{'棬子树 655米'}
3,4.2.3,133.76,锦江三圣乡棣棠路870号 首创娇子1号(别墅),1380.0,"{'三环路娇子立交桥西 606米', '金像寺路 640米', '成都公交停保基地 543米'}","{'娇子立交 788米', '娇子立交 635米'}"
13,6.4.4,135.5,青羊金沙金阳路152号 金沙云庭,605.0,"{'清江西路 923米', '金沙遗址站 776米', '青羊大道双锦路口 967米'}","{'金沙滨河公园 796米', '清江西路 907米', '黄忠 947米', '金沙博物馆 949米'}"
40,4.2.3,124.54,锦江三圣乡牡丹街879号 四海逸家云庭,520.0,{'枫树街南 450米'},"{'娇子立交 947米', '娇子立交 870米', '海桐街 798米'}"
26,3.2.1,79.0,锦江川师锦绣大道3688号 华润凯旋天地,158.0,"{'赖家新桥 954米', '大观堰 915米', '海桐街 592米', '国槐街 531米'}",{'狮子山 760米'}
3,6.2.5,350.82,锦江三圣乡月季街199号 金房三径,808.0,"{'芙蓉中路 493米', '枫树街北 321米', '锦江大道北 309米', '锦江大道百日红路口 408米', '芙蓉西路西 784米', '洪河公交站 844米'}",set()
27,4.2.2,147.01,"青羊金沙蜀风路228号,金沙遗址路55号 金沙鹭岛一期",339.0,{'清江西路 856米'},"{'清江西路 850米', '黄忠 941米', '金沙滨河公园 600米'}"
40,4.2.2,88.0,锦江三圣乡牡丹街879号 四海逸家云庭,410.0,{'枫树街南 450米'},"{'娇子立交 947米', '娇子立交 870米', '海桐街 798米'}"
6,5.3.3,170.62,金牛蜀汉路蜀明西路2号 西延锦绣,288.0,"{'育仁西路口 844米', '地铁羊犀立交站 435米', '育仁公交站 546米', '茶店子公交站 947米', '茶店子客运站 932米'}",{'羊犀立交 516米'}
33,4.2.2,138.71,锦江沙河堡二郎山路66号 塔子山壹号,398.0,"{'地铁塔子山公园站D口 355米', '上沙河铺路 479米'}",{'塔子山公园 272米'}
25,1.2.1,66.81,青羊同仁路通惠门路69号 长富新城,168.0,"{'省医院 896米', '金河路 873米', '省医院(地铁中医大省医院站) 892米'}","{'中医大省医院 886米', '宽窄巷子 214米', '通惠门 313米'}"
4,7.2.6,163.12,锦江三圣乡棣棠路870号 首创娇子1号(别墅),1280.0,"{'三环路娇子立交桥西 606米', '金像寺路口 448米', '金像寺路 640米', '成都公交停保基地 543米'}","{'娇子立交 788米', '娇子立交 635米'}"
18,3.2.2,134.29,青羊金沙蜀辉路19号 中大君悦金沙(一二期),377.0,"{'清江西路 257米', '三环路苏坡立交桥 771米', '清江西路中 549米', '苏坡立交北 618米'}",{'清江西路 281米'}
