楼层,房型,面积,房源地址及名称,价格,公交站距离,地铁站距离
45,4.2.2,138.0,"成华龙潭寺桂林西路,近桂香三路 恒大锦城",192.0,"{'地铁同乐站(A口) 835米', '北湖公交站 960米', '桂林西路 547米', '龙潭寺下街菜市 866米', '地铁同乐站 784米', '龙潭寺北 828米', '向龙公交站 880米'}","{'桂林 915米', '同乐 763米'}"
32,3.2.1,106.0,新都斑竹园润达路366号 万融城C区,125.0,"{'北欧知识城 837米', '地铁柏水场站 852米', '商贸城枢纽站 995米', '海宁皮革城 982米', '北星大道兴贸大道口 710米', '源上湾三期 163米', '柏水小区 928米'}",{'廖家湾 502米'}
34,3.2.2,125.0,"郫都红光银润南一路55号,西区大道1398号 橡树湾B区",130.0,"{'西区大道环城绿道 792米', '万安工业园 314米', '百草路中 933米', '西华大学南大门 690米'}",set()
26,4.2.2,109.6,新都三河丁香路259号 保利丁香郡,168.0,"{'银杏园路 725米', '漫花庄园 978米', '拉斐庄园 304米', '二台子 486米', '二台子蜀龙路口 672米'}",set()
18,3.2.2,135.9,新都新都新城区马超东路555号 东骏湖景湾,165.0,"{'香城中学 602米', '东骏湖景湾南门 358米', '缤纷时代广场 903米', '新都东站 863米', '水沐天城 354米'}",set()
11,4.2.2,153.25,温江光华大道天宝西街299号 西花汀,185.0,"{'地铁南熏大道站 674米', '同兴西路 390米', '地铁光华公园站 831米', '光华路口 922米'}","{'南熏大道 757米', '光华公园 825米'}"
25,3.2.2,127.86,双流蛟龙港五桐路48号 蜀镇锦悦府,155.0,"{'马家寺绕城路口 459米', '马家寺 561米', '江安河大桥 325米', '永康路口 960米', '美湖路草金路口 456米', '永康驿 849米', '公交永康充电站 460米'}",set()
16,5.2.2,122.0,双流蛟龙港九江街道文楠路172号 贵通御苑双楠城,183.0,"{'蛟龙港双楠大道口 900米', '双九路一段南 553米', '龙渡路三段中 505米', '蛟龙港海滨城 787米', '双九路二段南 720米', '龙渡路三段西 317米', '双九路一段北 245米'}",set()
33,4.2.2,136.76,新都斑竹园慕云路188号 华润琨瑜府,176.0,"{'北欧知识城 756米', '琨瑜府 336米', '北星大道新竹大道口 807米'}",set()
11,3.2.1,132.57,温江光华大道鹏程路808号 彩叠园二期,196.0,"{'鹏程小学 374米', '光华大道林泉路口 753米', '花土路 206米', '共和路 826米', '光华大道骑士大道口 724米'}",set()
