楼层,房型,面积,房源地址及名称,价格,公交站距离,地铁站距离
10,7.2.3,182.62,"新都新都新城区蜀龙大道南段777号,学景路39号 佳乐澜郡夏宫香缇",385.0,"{'佳乐国际城一期 427米', '绕城大道南一段 694米'}",set()
22,5.2.2,187.39,青羊内光华家园南街1号 上城成都花园,498.0,"{'龙爪村 818米', '光华村街口(BRT) 991米', '二环光华村街口 995米'}","{'东坡路 774米', '东坡路 782米', '光华村 957米'}"
7,3.2.2,132.0,"温江金马镇霞飞路41号,太极大道555号 月映长滩B区",130.0,"{'金泉路 865米', '滨河公园 136米', '大朗路 361米', '朗河路月漾路口 588米', '金马旅游区 625米'}",set()
29,4.2.2,133.94,高新区广都梓州大道5900号 中德英伦世邦(F区),350.0,"{'新泽三路 709米', '会龙大道 631米', '梓州大道观东二街口 999米', '应龙南一路南 905米', '梓州大道会龙大道口 537米'}",set()
15,2.2.1,108.39,武侯武侯周边武青西二路419号 绿城桂语朝阳,288.0,"{'业兴北二路口 606米', '地铁机投桥站(G口) 953米', '业兴北路南 340米', '武青南路武青西二路口 843米', '潮音公交站 623米', '武青西四路 602米', '武青南路永康路口 951米', '永康路半边街 646米'}",set()
31,4.2.2,162.77,成华龙潭寺湖秀二路37号 西派泊玥,330.0,"{'北湖公交站 985米', '东三环路一段中 778米', '同乐西一巷口 977米', '北湖客运站 787米', '龙潭寺 888米'}",set()
32,3.2.2,120.21,成华火车东站金马河路8号 新里柏仕公馆,190.0,"{'成渝立交南 282米', '富丽东方 659米', '万科路 890米', '地铁成渝立交站(C口) 964米', '成都东客站 809米', '万科南街北 815米', '成都东站-公交候车厅 762米', '万科路口 814米', '地铁成渝立交站 959米'}",set()
18,3.2.2,63.13,高新西区西源大道西源大道1311号 成都合院(二期),140.0,"{'电子科大清水河校区南二门 727米', '电子科大(有轨电车站) 725米', '电子科大清水河校区南校门 341米', '西源大道天润路口 645米', '天润路南 606米', '天皓路 253米'}","{'电子科大 797米', '合信路 968米'}"
13,6.4.4,135.5,青羊金沙金阳路152号 金沙云庭,605.0,"{'清江西路 923米', '金沙遗址站 776米', '青羊大道双锦路口 967米'}","{'金沙滨河公园 796米', '清江西路 907米', '黄忠 947米', '金沙博物馆 949米'}"
6,5.2.2,153.79,温江温江城区杨柳河金河西路283号 世纪滨江,175.0,"{'地铁市五医院站 754米', '双瓦窑 928米', '德通桥 362米', '农学院 810米', '零公桩 495米'}",{'市五医院 831米'}
32,5.2.4,187.02,成华火车东站金马河路8号 新里柏仕公馆,330.0,"{'成渝立交南 282米', '富丽东方 659米', '万科路 890米', '地铁成渝立交站(C口) 964米', '成都东客站 809米', '万科南街北 815米', '成都东站-公交候车厅 762米', '万科路口 814米', '地铁成渝立交站 959米'}",set()
