楼层,房型,面积,房源地址及名称,价格,公交站距离,地铁站距离
25,5.2.3,134.69,天府新区南湖南湖大道360号 佳兆业君汇上品,245.0,"{'南湖大道南 425米', '美岸路二段 736米', '南湖大道北 763米', '绿野路三段 278米'}",set()
21,3.2.2,105.08,温江光华大道清泉南街399号 合能珍宝琥珀三期,200.0,"{'光华大道骑士大道口 738米', '花土路 571米', '地铁涌泉站 716米', '鹏程小学 321米'}",{'涌泉 701米'}
34,4.2.2,115.3,"双流华府华府大道三段268号,华府大道三段869号 万锦城",195.0,"{'顺高路 526米', '剑和路一段西 598米', '顺兴路二段 705米', '顺兴路三段 722米', '华府大道万顺路口 200米', '华府大道牧华路口 847米', '顺兴路和顺路口 943米', '长牧路北 576米'}",set()
38,4.3.2,169.09,高新区金融城蜀锦路88号 高盛公馆,500.0,"{'益州大道锦城大道口 420米', '高新区孵化园 866米', '交子公园 952米', '地铁孵化园站 220米', '益州大道交子大道口 700米', '锦城公园 817米', '地铁孵化园站(D口) 279米'}","{'金融城 660米', '孵化园 401米'}"
28,3.2.1,95.07,锦江川师静缘路50号 自在轩,220.0,{'静康路中 831米'},"{'四川师大 876米', '四川师大 629米'}"
41,2.2.1,68.71,高新区大源荣华南路398号 世豪广场天府豪庭,185.0,"{'大源公交枢纽B站 785米', '大源公交站 974米', '天府二街 683米', '剑南大道天府四街口 772米', '天府四街 936米', '大源公交站(南华路) 772米', '天府四街剑南大道口 915米', '地铁大源站(B口) 282米', '地铁大源站(D口) 522米', '天府二街南华路口 779米', '剑南大道天府二街口 517米'}",{'大源 346米'}
19,4.2.4,216.26,高新区城南宜家盛和三路81号 公馆1881,598.0,"{'新南天地 720米', '盛和一路西 993米'}",{'石羊立交 843米'}
7,4.2.2,214.77,"高新区中和锦和西一街188号,锦和西一街185号,锦蜀街37号 融创香璟台西苑",550.0,"{'会龙大道 954米', '梓州大道观东二街口 967米', '梓州大道会龙大道口 506米', '应龙南一路南 637米', '新泽三路 358米'}",set()
32,4.2.2,122.0,天府新区麓山开元寺街88号 中德麓府,239.0,"{'天府三中 649米', '启元二街 895米', '地铁麓山大道站(C3口) 660米', '麓山大道二段 74米', '和韵南路北 822米', '遂州路口 681米', '地铁麓山大道站 966米', '裴家村 556米', '地铁麓山大道站(C2口) 705米'}",{'麓山大道 923米'}
26,2.2.1,77.84,锦江川师佳宏北路36号 比华利国际城二期,191.0,"{'国槐街 766米', '大观堰 264米', '地铁大观站 646米'}","{'狮子山 595米', '大观 691米'}"
34,3.2.2,116.67,龙泉驿恒大绿洲车城西四路177号 新希望锦麟府,228.0,"{'恒大绿洲 399米', '龙华寺 884米', '恒大绿洲后门 105米', '南二路西四路口 481米', '龙华一期 831米', '南二路西三路口 784米', '博美银河装饰城 964米', '龙华公交场 955米', '龙华新城 865米', '南一路西五路口 792米'}",{'龙华寺 951米'}
17,3.2.2,129.56,高新西区中海国际蓝岸街98号 橙郡一期,199.0,"{'蜀西路土龙路口 548米', '中海国际 235米', '蜀西路绿茵街口 659米', '金周路蜀西路口 616米', '蜀西路阳光街口 320米'}",set()
11,4.2.2,124.0,龙泉驿大面天鹅西湖南路33号 世茂城二期,235.0,"{'博美银河装饰城 282米', '恒大绿洲 958米', '天鹅湖小学 984米', '龙华寺 678米', '龙华一期 905米', '新建路中 891米'}",{'龙华寺 398米'}
29,3.2.2,108.05,高新区大源盛邦街899号 ICON尚郡,339.0,"{'大源公交枢纽B站 766米', '昆华公交站 920米', '天府二街剑南大道口 929米', '大源公交站(南华路) 838米', '大源公交站 799米', '大源村 772米', '剑南大道天府二街口 1000米', '天府二街南华路口 449米'}",set()
18,3.1.2,142.11,高新区理想中心博雅街33号 南城都汇汇曦园,580.0,"{'府城大道市一医院 849米', '石羊立交东 453米', '和盛东街 605米'}","{'市一医院 747米', '石羊立交 216米'}"
32,4.2.2,155.37,高新区大源盛华南路80号 复地雍湖湾,560.0,"{'地铁大源站(D口) 595米', '地铁大源站(B口) 746米', '民乐村 373米', '剑南大道天府二街口 793米'}",{'大源 689米'}
32,2.2.1,76.84,高新区广都新程大道119号 中德英伦城邦(K区),188.8,"{'地铁广都站 641米', '地铁五根松站 783米', '龙灯山路口 850米', '地铁华阳站 592米', '天府新区政务中心 837米'}","{'广都 744米', '五根松 835米', '华阳 535米'}"
8,5.1.2,151.0,"新都三河曲景西路99号,蜀龙大道南段777号 佳乐国际城二期",195.0,"{'佳乐国际城一期 338米', '香洲半岛 1000米', '绕城大道南一段东 491米', '泥巴沱森林公园 672米', '绕城大道南一段 439米'}",set()
32,2.2.1,75.53,锦江川师菱安路299号 华润幸福里(1期),200.0,{'川师南大门 448米'},"{'四川师大 251米', '四川师大 323米'}"
25,2.2.2,119.6,高新区远大天府大道南段1号 齐盛艺境,185.0,"{'姐儿堰南 302米', '地铁华府大道站 705米', '华府大道一段东 757米', '地铁华府大道站(C1口) 809米'}","{'华府大道 799米', '天府五街 659米'}"
6,4.2.2,126.23,锦江攀成钢牛沙路76号 新沙河阳光水岸,243.0,"{'莲花小区 913米', '净居寺二环路口 979米'}","{'净居寺 928米', '净居寺 849米', '东大路 787米'}"
