楼层,房型,面积,房源地址及名称,价格,公交站距离,地铁站距离
10,4.2.2,126.7,彭州彭州城区连封南街66号 观澜府一期,105.0,"{'公和路路口 837米', '南部新城公交场站 748米', '南部新城公交站 757米', '华润置地理想之城 792米', '连封中街 365米', '逸景苑(南门) 858米', '连封南街 254米', '连封北街 733米', '彭州市实验幼儿园 379米'}",set()
45,4.2.2,138.0,"成华龙潭寺桂林西路,近桂香三路 恒大锦城",192.0,"{'地铁同乐站(A口) 835米', '北湖公交站 960米', '桂林西路 547米', '龙潭寺下街菜市 866米', '地铁同乐站 784米', '龙潭寺北 828米', '向龙公交站 880米'}","{'桂林 915米', '同乐 763米'}"
34,3.2.2,114.67,成华成渝立交和美西路8号 首创国际城(二期),138.3,"{'地铁成渝立交站(C口) 979米', '地铁成渝立交站 997米', '万科路口 823米', '万科南街北 695米', '富丽东方 207米', '万科路 649米', '成渝立交南 299米', '迎晖公交站 651米'}",set()
18,4.2.3,121.89,"崇州崇州城区公园大道118号,公园大道8号 上林西江国际社区",115.8,"{'公园大道(上林西江西门) 195米', '锦绣天居 371米', '滨江路北一段 524米', '西河大道(西江悦) 719米'}",set()
10,6.3.4,149.83,"天府新区麓山金安西路369号,启元四街369号 合能枫丹铂麓三期",520.0,"{'地铁沈阳路站 579米', '天府三中 677米', '遂州路口 526米', '金安西路 79米'}",{'沈阳路 637米'}
16,4.2.2,133.45,"双流航空港机场路常乐二段115号,机场路常乐二段133号 温哥华南苑",185.0,"{'锦华路二段 341米', '成都棠湖外国语学校 857米', '机场路长江路口 558米', '航空港 911米', '北京华联购物中心 326米', '临港路三段西 620米'}",set()
30,3.2.2,116.69,"新都新都老城区蓉都大道南二段138号,团结路88号 香满庭",140.0,{'地铁团结新区站 305米'},"{'马超西路 994米', '团结新区 286米'}"
24,5.2.2,138.0,金堂金堂城区金泉路666号 宝龙水岸金城,120.0,"{'金外滩 520米', '金阳水景 921米', '金阳丽景 512米', '恒大御景半岛 556米', '迎宾加油站 882米', '新世纪线缆 324米'}",set()
33,4.2.2,119.76,"金牛天回镇聚霞路933号,聚沙路288号 中南樾府",160.0,"{'地铁北部商贸城站 262米', '聚霞路 407米', '聚虹路口 675米', '国际商贸城 591米'}","{'北部商贸城(地铁站) 333米', '北部商贸城 336米'}"
24,3.2.1,87.14,青羊万家湾光华南三路88号 万科金色领域,152.0,"{'光华东三路中 568米', '光华东五路中 863米', '万家湾 305米', '光华大道一段东 734米', '凯德风尚 837米', '万家湾公交站 437米', '光华东四路 376米', '地铁中坝站 714米', '光华大道光华北三路口 349米', '光华东二路 900米', '万家湾公交中心站 351米'}","{'中坝 762米', '万家湾 578米'}"
33,3.2.2,109.18,新都斑竹园中利路 奥园玖俪湾,135.0,"{'海宁皮革城西门 898米', '斑竹园路口 729米', '北星大道兴贸大道口 649米', '海宁皮革城 993米', '北欧知识城 757米'}",set()
34,4.2.2,142.0,天府新区南湖南湖西路175号 南湖国际社区(南区),210.0,"{'地铁二江寺站 873米', '南湖南路中 454米', '南湖北路北 855米'}",{'二江寺 759米'}
5,4.2.5,263.26,天府新区华阳华府大道一段518号 蜀郡,575.0,"{'丽景路南 685米', '华府大道一段东 961米', '伏龙小区 319米'}",set()
26,2.2.2,93.78,新都大丰华美东街132号 汇融悉尼湾库吉岛,98.0,"{'地铁大丰C口站 535米', '地铁大丰站A口 782米', '地铁大丰B口站 830米'}",{'大丰 664米'}
30,3.1.2,183.79,锦江攀成钢通盈街88号 绿地锦天府,620.0,"{'莲桂南路 779米', '二环成仁公交站 939米', '莲花一区 721米', '莲花小区 234米'}","{'三官堂 918米', '净居寺 969米', '净居寺 993米'}"
30,3.2.2,127.64,新都泰兴百澜路669号 恒大上林苑,100.0,"{'刘家大院 950米', '恒大上林苑 592米'}",set()
18,3.2.2,117.0,新都石油大学蓉都大道南一段333号 香城名都,120.0,"{'南门桥① 884米', '地铁马超西路站 772米', '南河湾 429米', '钟楼 612米', '正德小学 972米', '新都花园 883米', '小花园 729米', '七一国际广场 337米', '地铁钟楼站 653米', '新都花园二期 527米'}","{'钟楼 647米', '马超西路 962米'}"
8,3.2.2,144.34,"新都三河曲景西路99号,蜀龙大道南段777号 佳乐国际城二期",179.0,"{'佳乐国际城一期 338米', '香洲半岛 1000米', '泥巴沱森林公园 672米', '绕城大道南一段 439米', '观澜鹭岛 934米'}",set()
25,3.2.2,108.64,双流蛟龙港双九路二段188号 香博城,138.0,"{'九江中学 557米', '双九路二段南 957米', '蛟龙大道北 839米', '双九路二段北 275米', '九江(鸿雁路口) 166米', '双九路二段中 266米'}",set()
33,4.2.2,136.76,新都斑竹园慕云路188号 华润琨瑜府,176.0,"{'北欧知识城 756米', '琨瑜府 336米', '北星大道新竹大道口 807米'}",set()
33,4.2.2,123.61,成华龙潭寺桂林西路88号 绿地悦蓉公馆,185.0,"{'龙潭寺北 939米', '桂林新居 426米', '桂林西路 187米', '熊猫大道口 977米'}",{'桂林 599米'}
5,3.2.2,143.51,新都大丰三元大道314号 天府石油乐园,100.0,"{'地铁大丰C口站 834米', '扬帆小学 287米', '华美街口 622米', '丰怡阳光 844米'}","{'大丰 994米', '石犀公园 810米'}"
31,3.2.3,174.73,"天府新区西博城银燕巷88号,银燕巷99号 蔚蓝卡地亚花园城蔚蓝轩",639.0,"{'嘉州路杭州路口 778米', '双燕路西段中 667米', '天府七小 659米'}",{'武汉路 957米'}
16,5.2.2,122.0,双流蛟龙港九江街道文楠路172号 贵通御苑双楠城,183.0,"{'蛟龙港双楠大道口 900米', '双九路一段南 553米', '龙渡路三段中 505米', '蛟龙港海滨城 787米', '双九路二段南 720米', '龙渡路三段西 317米', '双九路一段北 245米'}",set()
17,2.2.1,89.0,"新都新繁滨江西路550号,锦溪路83号 世玺",79.8,"{'三义桥 343米', '金地三期 541米', '新都区第二人民医院 752米', '美林国际社区 788米', '新城豪庭 534米', '新繁客运站 734米'}",set()
26,4.2.2,132.9,"天府新区海洋公园麓山大道一段219号,天府大道南段2399号 宏信南樾",185.0,"{'地铁海昌路站(D1口) 504米', '梓州大道麓山大道口 919米', '地铁海昌路站(C口) 724米', '麓山大道梓州大道口 646米', '华阳客运站 619米', '地铁海昌路站 606米', '地铁海昌路站(F口) 799米', '地铁海昌路站(A口) 829米'}",{'海昌路 760米'}
16,3.2.2,140.0,天府新区兴隆湖创意南路1089号 中铁诺德壹号揽湖轩,189.0,"{'创意路银梯街口 217米', '兴隆湖东 760米', '创意南路东 183米', '创意路红梁东二街口 748米', '创意路公交站 278米', '广西路口 763米'}",set()
30,3.2.1,86.92,郫都郫筒中信大道四段968号 中冶田园世界,76.0,"{'招呼站 679米', '洪石 644米', '中信大道梨园路口 204米', '中信大道红杨路口 267米', '梨园路 845米', '梨园路中信大道口 284米'}",set()
16,4.2.2,150.11,武侯簇桥万虹路51号 金科博翠府,556.0,"{'太平园中四路 628米', '地铁川藏立交站 156米', '武侯立交南 780米', '千龙路聚萃街口 341米'}",{'川藏立交 209米'}
3,7.4.6,335.0,"金堂金堂城区观岭大道1118号,观岭大道1号附21号 观岭国际社区翡翠岭",480.0,set(),set()
7,2.2.2,106.87,郫都红光鹃兴路666号 中航城,140.0,"{'护国村幼儿园 257米', '宋家林南 864米'}",set()
34,2.2.1,57.54,成华十里店民兴北二路66号 中国水电美立方,85.0,"{'民兴路口 202米', '向龙一路口 388米', '民兴北二路中 486米', '成致路华泰路口 986米', '民兴北二路 127米', '三环航天路口 511米'}",{'航天路 888米'}
6,4.2.2,166.2,青羊外金沙百仁二路48号 金沙城西府澜院,530.0,"{'羊犀立交南 826米', '黄苑街口 612米'}",set()
30,3.2.4,307.55,锦江攀成钢通盈街88号 绿地锦天府,1119.0,"{'莲桂南路 779米', '二环成仁公交站 939米', '莲花一区 721米', '莲花小区 234米'}","{'三官堂 918米', '净居寺 969米', '净居寺 993米'}"
18,3.2.2,90.91,"双流航空港临港路四段9号,临港路二段9号 和贵久居福",125.0,"{'机场路长江路口 932米', '临港路三段西 479米', '北京华联购物中心 758米', '锦华路二段 445米', '成都棠湖外国语学校 818米'}",{'光明 691米'}
6,4.2.2,266.7,新都新都新城区马超东路555号 东骏湖景湾,488.0,"{'香城中学 602米', '东骏湖景湾南门 358米', '缤纷时代广场 903米', '新都东站 863米', '水沐天城 354米'}",set()
32,4.2.2,172.0,天府新区华阳绵州路2699号 万科天府锦绣锦院,650.0,"{'绵州路双燕路口 437米', '秦皇苑 833米', '顺圣路公交站 148米', '天府新区社事中心 722米', '嘉州路杭州路口 661米', '双燕路西段中 607米', '正兴卫生院 907米', '绵州路 674米', '地铁红莲站 941米'}","{'红莲 835米', '红莲 996米'}"
