楼层,房型,面积,房源地址及名称,价格,公交站距离,地铁站距离
32,2.2.1,85.92,高新区大源盛治街600号 都城乐颂居,249.9,"{'地铁大源站(B口) 651米', '天府二街南华路口 1000米', '剑南大道天府二街口 337米', '天府二街剑南大道口 446米', '地铁大源站(D口) 553米', '天府二街 656米', '天府一街西 785米'}",{'大源 637米'}
5,5.2.3,184.0,新都大丰晓初滨河路一巷55号 博雅新城B区,152.0,"{'科伦 936米', '大丰公交站 660米', '大丰街道 880米'}",set()
34,2.2.1,62.12,龙泉驿阳光城幸福大道333号 华府幸福城,52.0,"{'成都汽车职业学院后门 940米', '川大卫校 802米', '幸福路中段 654米', '康阳路同荣路口 359米', '阳光村村委 28米'}",set()
10,6.3.4,149.83,"天府新区麓山金安西路369号,启元四街369号 合能枫丹铂麓三期",520.0,"{'地铁沈阳路站 579米', '天府三中 677米', '遂州路口 526米', '金安西路 79米'}",{'沈阳路 637米'}
17,4.2.3,161.34,"成华八里小区八里庄路59号,民和路65号 青秀阅山府",318.0,"{'地铁八里庄站 809米', '致顺路 875米', '八里小区 888米'}","{'八里庄 843米', '府青路 774米'}"
32,4.2.3,186.63,高新区大源富华南路1606号 保利心语上府,619.5,"{'剑南大道天府四街口 473米', '天府四街剑南大道口 365米', '地铁大源站(B口) 918米', '大源公交枢纽B站 909米', '大源公交站(南华路) 837米', '天府四街 180米'}","{'大源 973米', '民乐 580米'}"
32,4.2.1,136.33,成华万年场双成三路16号 华润凌云府,428.0,"{'双桥子北 648米', '地铁双桥路站 758米', '地铁万年场站 160米', '双桥子公交站 777米', '双桥子南 949米', '塔子山公园(BRT) 584米'}","{'双桥路 824米', '万年场 192米'}"
33,4.2.2,121.98,"新都大丰北星大道一段,大成路南段99号 保利大都汇君汇",176.8,"{'大天路东 186米', '大天路利民路口 909米', '大天路中 948米', '甫家一路口 599米', '大天路口 621米'}",{'大天路 469米'}
28,4.2.4,217.23,"武侯桐梓林桐凤路17号,桐凤路39号 紫檀",768.0,"{'人南立交东(BRT) 665米', '人南立交西 394米', '玉林南路 872米'}","{'倪家桥 801米', '桐梓林 532米', '倪家桥 788米'}"
30,3.2.2,110.0,温江光华大道七星街191号 金河谷(四期),131.0,"{'共耕社区 756米', '凤凰南大街 693米', '光华大道江安河 674米'}",set()
35,4.2.2,89.75,成华建设路建设路1号 万科金域蓝湾,310.0,"{'建设路东 221米', '厂北路口 887米', '建设路口(BRT) 176米', '建设路中 549米', '建设南路口(BRT) 533米', '市六医院沙河院区 420米', '二环建设北路口 666米'}",{'踏水桥 790米'}
30,3.2.1,83.0,新都大丰大丰街道宝丰巷55号 保利城四期A区,125.0,"{'甫家一路口 614米', '大天路利民路口 577米', '太平碑路 934米', '大天路口(出城方向) 976米', '利民路南 227米', '利民路大天路口 408米'}",{'大天路 748米'}
30,3.2.2,113.09,崇州羊马羊安北路1159号 恒大银海湖(三期),68.0,"{'银海湖一期 278米', '银海湖二期 415米', '羊马驿站 656米', '泗安村 495米'}",set()
31,4.2.2,167.28,成华龙潭寺湖秀二路37号 西派泊玥,310.0,"{'北湖公交站 985米', '东三环路一段中 778米', '同乐西一巷口 977米', '北湖客运站 787米', '龙潭寺 888米'}",set()
7,4.2.2,157.49,天府新区麓山宁安西二路1368号 保利天空之城云铂,365.0,"{'昌公堰 241米', '香山中学 472米', '夔州大道宁安西二路口 208米', '地铁昌公堰站 600米'}",{'昌公堰 449米'}
44,4.2.3,240.0,锦江九眼桥宏顺街160号 新希望D10天府,1250.0,"{'双桥子 886米', '经华南路 908米', '水碾河路 754米', '牛市口 752米', '天府通(牛市口店) 948米', '陈家巷 317米'}",{'牛王庙 527米'}
32,3.2.2,114.32,崇州羊马嘉洲路1188号 恒大银海湖(一期),71.0,"{'银海湖一期 320米', '泗安村 239米', '银海湖二期 728米', '羊马驿站 989米'}",set()
30,4.2.3,101.2,高新区大源富华北路357号 保利百合花园,325.0,"{'天府二街 724米', '天府二街南华路口 799米', '剑南大道天府二街口 372米', '天府二街剑南大道口 378米', '地铁大源站(D口) 582米', '天府一街西 897米', '地铁大源站(B口) 594米'}",{'大源 600米'}
11,5.2.2,191.6,温江南熏大道凤溪大道南段555号 恒大城,279.0,set(),"{'五洞桥路东 333米', '政通西路 224米', '地铁温泉大道站(城南公交站) 997米'}"
17,3.2.2,125.24,"温江大学城科林路东段169号,科林路东段277号 雅砻阳光花园",135.0,"{'大学城公交站 716米', '学府路南段 761米', '科兴路口 445米', '天府家园 724米', '地铁万盛站 789米', '科兴路西段 929米'}",{'万盛 923米'}
13,6.4.4,135.5,青羊金沙金阳路152号 金沙云庭,605.0,"{'清江西路 923米', '金沙遗址站 776米', '青羊大道双锦路口 967米'}","{'金沙滨河公园 796米', '清江西路 907米', '黄忠 947米', '金沙博物馆 949米'}"
