楼层,房型,面积,房源地址及名称,价格,公交站距离,地铁站距离
31,3.2.2,99.75,崇州崇州城区永康东路 北大资源颐和天璞,102.6,"{'永康东路(万达广场) 760米', '永康东路(人民医院) 435米'}",set()
11,3.2.2,130.67,双流东升镇白衣上街二段266号 川网国际花园,188.0,"{'蛟龙港海滨城 674米', '蛟龙港双楠大道口 327米', '普贤市场 639米', '白衣上街二段南 938米', '双九路一段南 641米'}",set()
24,5.3.5,581.85,温江万春镇白鹭路508号 鹭湖宫15区,680.0,"{'万春大道北林绿道口 691米', '春江西路 953米', '万春大道青安桥 437米'}",set()
28,4.2.4,217.23,"武侯桐梓林桐凤路17号,桐凤路39号 紫檀",768.0,"{'人南立交东(BRT) 665米', '人南立交西 394米', '玉林南路 872米'}","{'倪家桥 801米', '桐梓林 532米', '倪家桥 788米'}"
24,2.2.1,77.7,武侯五大花园武晋路1488号 金楠天街枫香庭楠香庭,156.0,"{'晋吉北路 800米', '阳公桥 543米', '五大花园 970米', '果丰路 213米'}",{'阳公桥 255米'}
7,3.2.2,99.39,龙泉驿总站片区龙都北路93号 能投阳光里,135.0,"{'建材路口 433米', '平安菜市 925米', '建材路红岭路口 645米', '龙都南路建材路口 404米', '四川旅游学院 366米'}",set()
32,2.2.1,87.36,锦江静居寺牛沙后街88号 上海东韵,215.0,"{'莲花小区 642米', '地铁净居寺站 552米', '净居寺二环路口 167米', '二环成仁公交站 533米', '莲桂南路 822米', '成仁公交站 765米'}","{'净居寺 474米', '三官堂 849米', '三官堂 977米', '东光 970米', '净居寺 551米'}"
31,4.2.2,167.28,成华龙潭寺湖秀二路37号 西派泊玥,310.0,"{'北湖公交站 985米', '东三环路一段中 778米', '同乐西一巷口 977米', '北湖客运站 787米', '龙潭寺 888米'}",set()
11,4.2.2,181.63,武侯外双楠顺和街16号 中华名园(一期),289.0,"{'武侯立交北 907米', '太平园中四路 939米', '胜利桥街 780米', '晋吉南路 863米', '果堰街中 903米', '武侯立交南 843米', '三环路武侯立交桥东 345米', '果堰村十一组 594米'}",set()
5,5.4.5,265.99,双流东升镇银河路160号 北京城建龙樾湾,378.0,"{'志翔路口 553米', '永瑞路西 602米', '银河路一段北 225米', '航港路一段 671米', '永瑞路东 269米', '蛟龙港供电中心 903米', '双港农贸市场 666米'}",set()
29,4.2.2,185.59,成华龙潭寺湖秀二路37号 西派泊玥,370.0,"{'北湖公交站 985米', '东三环路一段中 778米', '同乐西一巷口 977米', '北湖客运站 787米', '龙潭寺 888米'}",set()
15,3.2.1,100.0,双流东升镇长顺路三段128号 蓉城胜景,110.0,"{'华兴路口 302米', '双流客运中心 999米', '欧城花园 421米', '南昌路 776米', '地铁双流广场站 781米', '广都大道一段 835米'}","{'东升 684米', '双流广场 863米'}"
13,2.1.1,77.58,武侯簇桥智达二路777号 一品天成,129.0,"{'地铁簇桥站(D3口) 609米', '七里大道中 309米', '智远大道金履二路口 654米', '七里大道金兴南路 614米'}",{'簇桥 814米'}
33,4.2.2,159.3,"成华万年场御风二路9号,御风二路19号 信和御龙山",375.0,"{'塔子山公园(BRT) 592米', '塔子山公园(北门) 388米', '五桂桥(BRT) 503米', '地铁万年场站 906米'}",{'万年场 977米'}
13,3.2.2,123.57,武侯新双楠武科东二路2号 驿鑫乡卿城,185.0,"{'果盛路口 695米', '武侯立交北 261米', '果堰村十一组 496米', '三环路武侯立交桥东 934米', '果堰街中 611米'}",{'武侯立交 870米'}
16,4.2.2,120.81,双流航空港西航港大道888号 葛洲坝紫郡蘭园,168.0,{'地铁莲花站 354米'},{'莲花 285米'}
31,4.2.2,167.77,成华龙潭寺湖秀二路37号 西派泊玥,299.0,"{'北湖公交站 985米', '东三环路一段中 778米', '同乐西一巷口 977米', '北湖客运站 787米', '龙潭寺 888米'}",set()
29,2.2.2,90.0,"高新区理想中心天晖路346号,府城大道中段188号 时代晶科名苑",245.0,"{'天府大道府城大道口 741米', '和盛东街 674米', '交子北一路蜀绣西路口 485米'}","{'金融城北 885米', '益州大道 205米', '高新 561米'}"
31,4.2.2,162.77,成华龙潭寺湖秀二路37号 西派泊玥,330.0,"{'北湖公交站 985米', '东三环路一段中 778米', '同乐西一巷口 977米', '北湖客运站 787米', '龙潭寺 888米'}",set()
21,4.2.2,111.94,高新区大源天府一街1339号 凯德世纪名邸西庭,368.0,"{'大源北二街 694米', '地铁元华车辆段 761米', '天府一街西 925米'}",set()
32,3.2.2,105.87,高新区大源天府一街616号 中洲锦城湖岸,430.0,{'天府一街益州大道口 113米'},set()
33,3.2.2,119.71,邛崃市邛崃城区凤凰大道66号 星星南河郡,115.8,"{'邛窑遗址公园 956米', '南河郡 258米', '玉带街 983米'}",set()
46,4.1.2,129.99,龙泉驿大面金枫路68号 华润云庭,178.0,"{'龙安村 861米', '总部经济港 610米', '卓锦万黛 367米'}",{'龙安 939米'}
18,5.3.3,213.0,高新区理想中心荟锦路33号 南城都汇汇尚园,650.0,{'和盛东街 466米'},"{'高新 927米', '市一医院 874米', '石羊立交 538米'}"
18,3.2.2,130.51,青白江凤凰新城凤祥大道800号 武海中华名城,105.0,"{'安居路北 955米', '同华大道凤凰西三路口 460米', '凤凰西二路北 530米', '区政务中心 892米', '凤凰西二路南 501米', '同华大道凤凰西六路口 707米'}",set()
6,4.2.2,136.0,都江堰都江堰城区蒲阳路496号 宁江大院(一二期),128.0,"{'红庙巷 760米', '北街小学(爱心家园) 803米', '建兴路口 273米', '北街小学 931米'}",set()
29,5.2.3,161.0,龙泉驿大面新建路299号 卧龙谷玖号,252.0,"{'天鹅西湖南路 606米', '新建路中 468米', '金旗大道 717米'}",set()
13,3.2.2,120.29,武侯簇桥来凤二路28号 中国铁建西派城A区,370.0,{'七里大道中 799米'},{'武青南路 916米'}
