楼层,房型,面积,房源地址及名称,价格,公交站距离,地铁站距离
6,3.2.2,140.92,温江公平镇黄金路238号 鑫源锦城花园,102.0,"{'双瓦窑 818米', '花木交易中心 948米', '三合桥 867米'}",set()
39,4.2.2,141.0,双流东升镇银河路160号 北京城建龙樾湾,165.0,"{'志翔路口 553米', '永瑞路西 602米', '银河路一段北 225米', '航港路一段 671米', '永瑞路东 269米', '蛟龙港供电中心 903米', '双港农贸市场 666米'}",set()
6,2.2.1,88.48,青羊浣花小区青华路42号 竹韵菁华,110.0,"{'光华村街 846米', '杜甫草堂(北门) 404米', '光华村街口(BRT) 126米', '二环群康路口 609米', '成温立交桥 962米'}","{'杜甫草堂 820米', '光华村 108米'}"
22,4.2.2,141.25,双流航空港黄河中路二段36号 圣菲TOWN城,230.0,"{'水电研究所 489米', '临港路三段 784米', '珠江路临港路口 685米'}","{'谢家渡 407米', '珠江路 447米'}"
31,4.2.2,127.11,双流华府牧华路1111号 九龙仓时代上城,248.0,"{'华府大道牧华路口 606米', '剑和路一段西 509米', '华府大道牧华路口站 939米', '牧华路华府大道口 791米'}",{'南湖立交 997米'}
31,4.2.2,161.06,成华龙潭寺湖秀二路37号 西派泊玥,279.0,"{'北湖公交站 985米', '东三环路一段中 778米', '同乐西一巷口 977米', '北湖客运站 787米', '龙潭寺 888米'}",set()
24,3.2.2,100.37,成华崔家店双店路111号 蓝光公园悦庭,240.0,"{'奥园公交站 350米', '地铁槐树店站(G口) 952米', '崔家店 710米'}","{'双店路 239米', '崔家店 809米'}"
33,4.2.2,130.25,"新都大丰甫家坝路358号,甫家一路66号 保利大都汇雅汇",193.0,"{'大天路东 499米', '大天路口 853米', '鲜花大院 808米', '甫家一路口 485米'}",{'大天路 563米'}
12,5.2.3,357.03,"武侯簇桥智达二路1209号,来凤二路108号 中国铁建西派城B区",1239.0,"{'七里大道金兴南路 776米', '七里大道中 597米'}",set()
45,4.2.2,138.4,"成华龙潭寺桂林西路,近桂香三路 恒大锦城",215.0,"{'地铁同乐站(A口) 835米', '北湖公交站 960米', '桂林西路 547米', '龙潭寺下街菜市 866米', '地铁同乐站 784米', '龙潭寺北 828米', '向龙公交站 880米'}","{'桂林 915米', '同乐 763米'}"
11,4.2.3,144.0,双流东升镇航港路66号 时代府邸,208.0,"{'地铁龙桥路站(奥特莱斯西) 504米', '龙桥路口 669米', '龙桥路航港路口 447米', '航港路五段 162米', '地铁龙桥路站 611米', '航都大道口 737米', '龙桥北路中 941米'}",{'龙桥路 400米'}
