楼层,房型,面积,房源地址及名称,价格,公交站距离,地铁站距离
18,3.2.2,115.9,高新区广都天府大道南段1299号 城南名著,180.0,"{'地铁广都站 434米', '广都中街 849米', '龙灯山路口 264米'}","{'华阳 713米', '广都 482米'}"
39,4.2.2,127.12,高新区大源荣华南路398号 世豪广场天府豪庭,288.0,"{'大源公交枢纽B站 785米', '大源公交站 974米', '天府二街 683米', '剑南大道天府四街口 772米', '天府四街 936米', '大源公交站(南华路) 772米', '天府四街剑南大道口 915米', '地铁大源站(B口) 282米', '地铁大源站(D口) 522米', '天府二街南华路口 779米', '剑南大道天府二街口 517米'}",{'大源 346米'}
31,4.2.2,135.0,高新区广都海洋路109号 金地天府城,275.0,"{'地铁海昌路站(A口) 945米', '海洋路东 596米', '地铁海昌路站(F口) 908米', '海洋路 451米', '地铁海昌路站(C口) 986米', '地铁华阳站 742米'}","{'海昌路 962米', '五根松 796米', '华阳 670米'}"
28,3.2.2,119.09,高新区中和观东三街600号 中铁城锦南汇,220.0,"{'观东二街 620米', '梓州大道会龙大道口 921米', '新泽三路 558米', '应龙南一路 914米', '应龙南一路南 407米'}",set()
42,4.1.1,114.17,"高新区广都梓州大道5500号,会龙路365号 中德英伦联邦(B区)",298.0,"{'应龙南一路 900米', '会龙大道 762米', '应龙南一路南 824米', '梓州大道观东二街口 289米', '梓州大道会龙大道口 401米', '应龙路 820米', '姐儿堰南 861米'}",set()
29,4.2.3,207.65,高新区天府长城天和路69号 皇城花卉,505.0,"{'东苑 755米', '地铁火车南站(H1口) 512米', '地铁火车南站(G2口) 674米', '火车南站公交站 639米', '地铁三瓦窑站 591米', '成都南站-公交站场 719米', '地铁火车南站(G1口) 812米', '成都南站 716米'}","{'三瓦窑 688米', '火车南站 765米', '火车南站 866米'}"
33,4.2.2,115.17,高新区广都新程大道119号 中德英伦城邦(K区),248.0,"{'地铁广都站 641米', '地铁五根松站 783米', '龙灯山路口 850米', '地铁华阳站 592米', '天府新区政务中心 837米'}","{'广都 744米', '五根松 835米', '华阳 535米'}"
27,3.2.2,146.33,"高新区大源德赛二街166号,天府二街766号 华润凤凰城(一期)",322.0,"{'地铁大源站(B口) 750米', '民乐村 742米', '地铁大源站(D口) 507米', '剑南大道天府二街口 625米'}",{'大源 685米'}
34,2.2.1,84.88,"高新区中和中和大道二段69号,府兴路57号 红树湾",166.0,"{'吉龙路迎江路口 540米', '新下街 778米', '黄土场 954米', '化龙社区 633米'}",set()
24,2.2.2,47.7,锦江春熙路大科甲巷43号附13号 京都大厦,45.0,"{'义学巷口 645米', '东门大桥 843米', '春熙路 250米', '东风大桥 995米', '盐市口 739米', '春熙路步行街南 265米', '太古里 473米', '总府路 575米', '春熙路步行街北 413米'}",{'春熙路 222米'}
32,3.2.2,124.04,高新区大源富华南路1700号 保利心语观园国际,346.0,"{'天府四街 432米', '天府四街剑南大道口 560米', '剑南大道天府四街口 561米', '天府二街南华路口 897米', '地铁大源站(B口) 724米', '大源公交枢纽B站 705米', '大源公交站 880米', '地铁大源站(D口) 983米', '大源公交站(南华路) 644米'}","{'大源 785米', '民乐 787米'}"
31,2.1.1,51.0,"高新区世纪城世纪城路996号,天府大道中段177号 天鹅湖北苑",56.1,"{'地铁世纪城站 177米', '天府二街东 708米'}",{'世纪城 303米'}
35,1.1.1,33.57,锦江牛市口东大路246号 环球汇蔚然,52.0,"{'天府通(牛市口店) 969米', '莲花小区 889米', '双桥子南 873米'}","{'牛市口 561米', '东大路 344米'}"
