楼层,房型,面积,房源地址及名称,价格,公交站距离,地铁站距离
17,3.2.2,129.12,"金堂金堂城区金泉路1469号,月映路436号 金堂县怡静湖小区",63.8,"{'金堂县法律服务中心 448米', '万人小区 698米', '金川路口 710米', '熙湖街 935米', '七中育才金堂分校 834米'}",set()
11,5.2.2,182.25,青白江青白江城区青江北路69号 深业泰然怡湖玫瑰苑,196.0,"{'青白江川化俱乐部 914米', '安居路 839米', '青江南路 386米', '大弯派出所 721米', '青白江区政府 849米', '和谐广场 665米'}",set()
35,3.2.2,84.88,高新区远大天府大道南段345号 锐力领峰,103.0,"{'华府大道一段东 597米', '地铁华府大道站(C1口) 186米', '姐儿堰南 654米', '地铁华府大道站 240米', '会龙大道 475米'}",{'华府大道 242米'}
50,3.2.1,94.06,"天府新区锦江生态带祥鹤五街,瑞林北巷398号 中海锦江城云熙2期",179.0,"{'鹤林公交站 755米', '祥鹤四街 370米', '瑞祥路 916米', '沈阳路瑞祥东街口 576米', '祥鹤公交站 428米', '祥鹤二街中 983米', '地铁怡心湖站(D2口) 939米', '天府鹤林东 343米'}",set()
39,3.2.2,91.0,天府新区锦江生态带天府大道南段2716号 恒大天府半岛(七期),157.0,{'江畔路中 587米'},set()
33,4.2.2,126.71,锦江三圣乡杨树街365号 首开龙湖天璞,299.0,{'银杏大道海棠路口 593米'},set()
16,3.2.1,86.5,金牛国宾兴科北路8号 正成拉斐,173.0,"{'金科中路口 387米', '地铁金科北路站(B口) 804米', '金科南二路 583米', '金科南路东 150米', '地铁金科北路站 755米'}","{'金周路 526米', '金科北路 822米'}"
33,3.2.2,94.0,天府新区锦江生态带天府大道南一段2917号 复地御香山,185.0,"{'地铁广福站 537米', '地铁广福站(A1口) 830米', '地铁广福站(B口) 559米', '地铁广福站(A2口) 809米'}",{'广福 688米'}
30,2.2.1,104.65,"金牛一品天下一品天下大街399号,茶店子正街18号 西城公馆",190.0,"{'蜀蓉路公交站 972米', '地铁茶店子站 384米'}",{'茶店子 354米'}
7,5.2.2,164.78,新都新都新城区蜀龙大道南段777号 佳乐国际城一期,229.0,"{'佳乐国际城一期 126米', '绕城大道南一段 500米', '香洲半岛 899米', '泥巴沱森林公园 843米'}",set()
6,4.2.2,124.92,青羊万家湾导航路910号 正成艺墅洋房,298.0,"{'文家路口 897米', '导航路口 205米'}",set()
33,3.2.2,100.0,天府新区南湖南湖北路121号 南湖世纪,178.0,"{'锦江路 837米', '南湖北路北 143米'}",{'二江寺 915米'}
33,3.2.2,98.0,天府新区南湖美岸路一段66号 中信城左岸,178.5,"{'地铁南湖立交站 235米', '瑞祥路 750米'}",{'南湖立交 232米'}
33,3.2.2,99.35,邛崃市邛崃城区凤凰大道66号 星星南河郡,89.8,"{'邛窑遗址公园 956米', '南河郡 258米', '玉带街 983米'}",set()
25,4.3.3,108.88,大邑大邑城区大邑大道632号 春天国际,98.0,"{'中铁金山 501米', '欣城印象 895米', '高铁广场(雪山大道二段) 767米', '政务中心 569米', '大邑中学 908米'}",set()
27,3.2.2,127.26,高新区城南宜家盛和二路168号 桐梓林壹号,429.0,"{'成都公交火车南站综合枢纽站 847米', '盛和一路西 533米', '新南天地 270米', '火车南站综合交通枢纽站 741米'}",set()
33,3.2.1,89.09,龙泉驿西河成洛大道5632号 九峰东方明珠,92.0,"{'鹿角五组 972米', '群辉北路成洛路口 425米', '成洛路群辉北路口 185米', '成洛大道群辉北路口 186米', '鹿角农贸市场 253米', '群辉北路锦洛西路口 984米', '西平路口 419米', '鹿角六组 560米'}",set()
19,3.2.2,128.17,青羊万家湾成飞大道南段199号 凯德风尚,307.0,"{'光华东二路 633米', '光华东三路中 962米', '万家湾公交中心站 961米', '光华南三路 869米', '万家湾公交站 993米', '地铁中坝站 912米', '凯德风尚 154米', '光华东四路 683米', '光华大道光华北三路口 653米'}",{'中坝 968米'}
28,4.2.2,127.57,高新区大源南华路1616号 建发天府鹭洲,638.0,"{'大源公交站 591米', '天府二街南华路口 218米', '剑南大道天府二街口 908米', '昆华公交站 868米', '地铁大源站(B口) 935米', '大源公交枢纽B站 513米', '天府二街剑南大道口 788米', '大源公交站(南华路) 578米'}",{'大源 979米'}
33,3.2.2,119.75,金堂金堂城区金凤路555号 恒大御景半岛,69.8,"{'万人小区 871米', '金泉路 773米', '金外滩 716米', '恒大御景半岛 580米'}",set()
32,1.2.1,126.0,金牛茶店子花照壁西顺街198号 首开龙湖紫宸(一期),303.0,"{'中环花照壁东街口 532米', '地铁茶店子站 449米'}",{'茶店子 516米'}
39,2.1.1,52.46,武侯高升桥一环路西一段31号 天朗锦邸,112.0,"{'周家桥 845米', '高升桥 937米', '百花公交中心站 591米', '武侯祠 921米'}",{'省骨科医院 310米'}
33,3.2.2,99.19,天府新区锦江生态带瑞林北巷399号 中海锦江城云熙1期,188.0,"{'瑞祥路 946米', '祥鹤二街中 883米', '天府鹤林东 451米', '瑞祥路祥鹤五街口 344米', '祥鹤四街 566米', '祥鹤公交站 579米', '瑞祥路祥鹤三街口 645米', '鹤林公交站 950米', '沈阳路瑞祥东街口 525米'}",set()
24,3.2.2,114.43,新津新津城区骑龙湖一路339号 恒大天府城邦(四期),68.0,"{'恒大天府城邦三期 105米', '省骨科医院天府院区南门 549米', '天府新区安置小区 601米', '骑龙湖二路中段 583米', '八角井路西段 760米', '省骨科医院天府院区 302米', '政务中心 773米', '汪山边 564米', '凤华路南段 925米', '恒大天府城邦 733米'}",set()
31,4.2.3,50.12,锦江三圣乡榕树街37号 融创玖樾台邸,108.0,"{'成龙大道银木街口 913米', '银杏大道海棠路口 649米'}",set()
33,3.2.2,102.77,青白江凤凰新城大弯学苑路218号 瀚城新天地,88.0,"{'华金大道三段东 615米', '大弯中学北 417米', '大弯中学北 403米', '大弯东路东 182米'}",set()
39,4.2.2,127.12,高新区大源荣华南路398号 世豪广场天府豪庭,288.0,"{'大源公交枢纽B站 785米', '大源公交站 974米', '天府二街 683米', '剑南大道天府四街口 772米', '天府四街 936米', '大源公交站(南华路) 772米', '天府四街剑南大道口 915米', '地铁大源站(B口) 282米', '地铁大源站(D口) 522米', '天府二街南华路口 779米', '剑南大道天府二街口 517米'}",{'大源 346米'}
30,3.2.2,113.09,崇州羊马羊安北路1159号 恒大银海湖(三期),68.0,"{'银海湖一期 278米', '银海湖二期 415米', '羊马驿站 656米', '泗安村 495米'}",set()
32,3.2.1,91.3,龙泉驿恒大绿洲银河路118号 恒大绿洲,105.0,"{'博美银河装饰城 571米', '龙华公交场 915米', '龙华寺 500米', '龙华一期 727米', '南一路西五路口 895米', '恒大绿洲后门 316米', '恒大绿洲 164米'}",{'龙华寺 532米'}
22,3.1.2,114.66,大邑大邑城区南苑东巷20号 西岭香槟国际,85.0,"{'政务中心 493米', '西岭影城 877米', '惠昌花园 887米', '妇幼保健院 997米', '中铁金山 305米', '苏宁电器 706米', '大邑中学 980米'}",set()
18,3.2.2,63.13,高新西区西源大道西源大道1311号 成都合院(二期),140.0,"{'电子科大清水河校区南二门 727米', '电子科大(有轨电车站) 725米', '电子科大清水河校区南校门 341米', '西源大道天润路口 645米', '天润路南 606米', '天皓路 253米'}","{'电子科大 797米', '合信路 968米'}"
31,3.2.2,99.75,崇州崇州城区永康东路 北大资源颐和天璞,102.6,"{'永康东路(万达广场) 760米', '永康东路(人民医院) 435米'}",set()
6,5.2.3,178.08,龙泉驿滨河片区龙都北路666号 山水四季城,172.8,"{'玉龙山庄 510米', '公园路枇杷沟路口 390米', '百工堰村一组 796米', '山水四季城 200米', '乒乓公园 795米', '新闻宾馆 870米'}",set()
27,3.2.1,116.18,"高新区大源天府四街,近剑南大道 北辰香麓",328.0,"{'天府四街乐华路口 314米', '大源公交站 947米', '大源公交枢纽B站 986米', '大源公交站(南华路) 927米', '天府四街 957米'}",set()
