楼层,房型,面积,房源地址及名称,价格,公交站距离,地铁站距离
38,3.2.2,131.06,成华新鸿路双林北支路1号 恒大豪庭,295.0,"{'麻石桥 501米', '双林路东 803米', '建设南路口(BRT) 955米', '万年场公交宿舍 784米', '双林北支路口(BRT) 165米', '新华公园 953米', '小龙桥路 417米', '万年场 864米'}","{'万年路 501米', '杉板桥 978米'}"
26,2.2.1,76.98,"新都新繁滨江西路550号,锦溪路83号 世玺",75.0,"{'三义桥 343米', '金地三期 541米', '新都区第二人民医院 752米', '美林国际社区 788米', '新城豪庭 534米', '新繁客运站 734米'}",set()
6,2.2.1,93.1,"龙泉驿总站片区蔚蓝路101附2号,龙工南路888号 蔚蓝花城A区",76.0,"{'鲸龙路龙工南路口 607米', '燃灯寺南路柏溪路口 728米', '东航路口 895米'}",set()
29,3.2.1,90.37,"成华成华周边安宁河路,近龙门山路 东汇家园",161.0,"{'锦绣大道岷江路口 587米', '地铁大观站 332米'}",{'大观 327米'}
29,3.1.1,77.36,"龙泉驿西河成洛大道109号,西江大道518号 昊园江南壹品",75.0,"{'西河城市家园 826米', '西江大道老成洛路口 48米', '西河中街 841米', '老成洛路简华桥南路口 806米'}",set()
6,2.1.1,67.38,温江万春镇天乡路二段939号 丛林背景,55.0,"{'花木交易中心 142米', '三合桥 543米'}",set()
54,5.2.3,260.17,成华猛追湾猛追湾横街188号 世茂玉锦湾,927.0,"{'地铁电子科大建设北路站 489米', '地铁红星桥站 473米'}","{'电子科大建设北路 579米', '红星桥 614米'}"
33,4.2.2,159.3,"成华万年场御风二路9号,御风二路19号 信和御龙山",375.0,"{'塔子山公园(BRT) 592米', '塔子山公园(北门) 388米', '五桂桥(BRT) 503米', '地铁万年场站 906米'}",{'万年场 977米'}
24,3.2.2,100.37,成华崔家店双店路111号 蓝光公园悦庭,240.0,"{'奥园公交站 350米', '地铁槐树店站(G口) 952米', '崔家店 710米'}","{'双店路 239米', '崔家店 809米'}"
30,4.4.3,205.0,成华万年场双成三路17号 华润紫云府,698.0,"{'双桥子公交站 848米', '联合小区 641米', '地铁万年场站 398米', '成洛路公交站 978米', '万年场 725米', '双桥子北 554米'}","{'双桥路 513米', '万年场 337米'}"
11,3.1.1,85.59,都江堰玉堂水菁路38号 闲山悦二区,69.0,"{'铁军路 502米', '中信云栖谷 432米', '文胜桥 452米', '玉堂 855米', '融创文旅城 788米', '外江大桥 796米'}",set()
