楼层,房型,面积,房源地址及名称,价格,公交站距离,地铁站距离
17,4.2.2,153.83,双流华府华府大道四段8号 天湖湾,298.0,"{'华府大道牧华路口站 266米', '牧华路华府大道口 233米', '地铁牧华路站 883米', '华府大道怡心湖 518米', '华府大道牧华路口 377米'}",{'牧华路 893米'}
26,3.2.2,137.0,天府新区麓湖生态城田家路 麓湖生态城汀院,495.0,"{'水线公园 126米', '锦江东三线南 917米', '麓坊中心 793米', '青岛路西段口 651米'}",set()
34,4.2.2,129.99,成华八里小区八里庄路69号 青秀未遮山(一期),310.0,"{'八里小区 743米', '地铁八里庄站 635米', '府青路三段 994米'}","{'府青路 882米', '八里庄 670米'}"
41,3.2.2,137.0,天府新区麓湖生态城田家路 麓湖生态城汀院,500.0,"{'水线公园 126米', '锦江东三线南 917米', '麓坊中心 793米', '青岛路西段口 651米'}",set()
31,4.2.2,154.19,成华龙潭寺湖秀二路37号 西派泊玥,278.0,"{'北湖公交站 985米', '东三环路一段中 778米', '同乐西一巷口 977米', '北湖客运站 787米', '龙潭寺 888米'}",set()
18,5.3.3,213.0,高新区理想中心荟锦路33号 南城都汇汇尚园,650.0,{'和盛东街 466米'},"{'高新 927米', '市一医院 874米', '石羊立交 538米'}"
22,4.2.3,249.36,"青羊外金沙清波路77号,蜀鑫路51号 华润金悦湾",678.0,{'清波公交站 532米'},"{'金沙滨河公园 750米', '蜀鑫路 506米'}"
11,5.1.3,154.03,双流东升镇航空路东段6号 远大林语城北苑,285.0,"{'葛陌村 391米', '航港路三段 419米', '棠湖中学实验学校(东区) 642米'}",set()
38,3.2.2,131.06,成华新鸿路双林北支路1号 恒大豪庭,295.0,"{'麻石桥 501米', '双林路东 803米', '建设南路口(BRT) 955米', '万年场公交宿舍 784米', '双林北支路口(BRT) 165米', '新华公园 953米', '小龙桥路 417米', '万年场 864米'}","{'万年路 501米', '杉板桥 978米'}"
11,4.0.3,133.37,龙泉驿大面成龙大道金枫路398号 蓝光公园华府,296.0,"{'龙城一号南大门 910米', '卓锦万黛 511米', '天鹅湖小学 801米'}",set()
30,4.4.3,205.0,成华万年场双成三路17号 华润紫云府,698.0,"{'双桥子公交站 848米', '联合小区 641米', '地铁万年场站 398米', '成洛路公交站 978米', '万年场 725米', '双桥子北 554米'}","{'双桥路 513米', '万年场 337米'}"
32,5.2.2,158.31,龙泉驿大面驿都西路3666号 炜岸城,309.0,"{'公园路口 576米', '龙城一号南大门 980米', '大面小学 747米', '大面铺 650米', '大面镇 202米', '南巷子 492米', '天鹅湖小学 621米', '天鹅西湖南路 790米'}",set()
6,4.2.3,128.0,龙泉驿大面驿都西路3666号 炜岸城,298.0,"{'公园路口 576米', '龙城一号南大门 980米', '大面小学 747米', '大面铺 650米', '大面镇 202米', '南巷子 492米', '天鹅湖小学 621米', '天鹅西湖南路 790米'}",set()
7,4.2.2,142.0,龙泉驿大面驿都西路3666号 炜岸城,265.0,"{'公园路口 576米', '龙城一号南大门 980米', '大面小学 747米', '大面铺 650米', '大面镇 202米', '南巷子 492米', '天鹅湖小学 621米', '天鹅西湖南路 790米'}",set()
11,5.2.2,191.6,温江南熏大道凤溪大道南段555号 恒大城,279.0,"{'五洞桥路东 333米', '政通西路 224米', '地铁温泉大道站(城南公交站) 997米'}",set()
9,4.2.2,143.37,龙泉驿大面龙城大道1号 龙城1号,289.0,"{'龙城一号东大门 500米', '十二公里 854米', '公园路口 591米', '龙城大道中段 771米', '龙城一号南大门 382米'}",set()
31,5.2.4,293.0,温江光华大道燎原路228号 珠江御景湾,799.9,"{'地铁涌泉站 990米', '光华大道人和路口 511米', '燎原路 315米', '涌泉西 684米', '地铁光华公园站 786米'}","{'涌泉 970米', '光华公园 914米'}"
29,4.2.3,137.03,温江光华大道七星街191号 金河谷(四期),255.0,"{'共耕社区 756米', '凤凰南大街 693米', '光华大道江安河 674米'}",set()
5,5.3.3,247.0,高新区中和府滨北路52号 怡丰花园,368.0,"{'五岔子 512米', '公济桥路西 327米'}",set()
