楼层,房型,面积,房源地址及名称,价格,公交站距离,地铁站距离
31,3.2.3,101.88,"锦江三圣乡樱花街1179号,芙蓉西路468号 绿地468公馆一期",270.0,"{'枫树街北 332米', '锦江大道北 756米', '航天立交 466米', '芙蓉西路西 220米', '赖家新桥 798米', '驿都大道西 809米', '锦江大道百日红路口 976米'}","{'航天立交 677米', '海桐街 714米'}"
27,1.1.1,44.52,锦江三圣乡玫瑰街77号 绿地中心468星朗,49.0,"{'地铁洪河站 357米', '洪河大道中路南 783米', '洪河公交站 427米', '锦江大道北 751米', '银杏大道驿都大道路口 611米'}",{'洪河 389米'}
6,2.1.1,62.2,金牛高家庄黄金东一路99号 金泉阳光雅新苑,75.0,"{'羊犀立交西 852米', '高家村 853米', '黄金路北 766米', '黄金路中 692米'}",set()
6,2.2.2,99.35,温江温江城区万春路325号 电力公寓,56.0,"{'云溪路 934米', '迎晖路 822米', '综合市场 775米', '鱼凫路北 486米'}",set()
7,1.1.1,38.92,成华猛追湾望平街78号 望平街78号院,58.0,"{'东风大桥 431米', '望平街 183米', '太古里 943米'}","{'玉双路 879米', '东门大桥 939米'}"
21,3.2.2,106.67,青羊外光华光华大道一段866号 元益花园,220.0,"{'西货站路日月大道口 574米', '万家湾 871米', '西货站路口 513米', '光华大道一段东 430米'}",set()
5,3.2.1,95.5,成华万年场五桂路1号 东虹路社区,60.0,"{'迎晖路(BRT) 111米', '五桂桥(BRT) 760米', '建材路南 691米', '地铁迎晖路站 284米'}",{'迎晖路 492米'}
30,3.2.2,106.0,邛崃市邛崃城区滨江路下段269号 翡翠湾(河滨路),91.8,"{'南河郡 495米', '玉带街 854米'}",set()
25,4.2.2,130.0,大邑大邑城区锦屏大道1号 恒宇时代天街,62.8,"{'林肯郡 418米', '客运中心 907米', '时代天街 147米', '大邑客运中心 916米', '潘家街幼儿园 899米', '晋原初中 748米', '职业技术学院 616米'}",set()
18,3.2.2,120.0,青白江凤凰新城同华大道199号 凯斯顿华府,67.0,"{'凤凰西二路北 834米', '大弯中学北 992米', '至佳学校 905米', '大弯小学 539米', '凤凰西二路南 638米', '同华大道凤凰西三路口 721米'}",set()
33,3.2.1,84.9,青羊石人大庆路74号 朗诗西溪里,220.0,"{'二环府南新区 940米', '成温立交桥 920米', '抚琴西路西 834米', '清江东路 968米', '府南新区(BRT) 908米', '大庆路 507米'}","{'草堂北路 701米', '白果林 195米'}"
31,4.2.2,137.08,锦江攀成钢汇源北路99号 天誉,529.0,"{'双桥子北 965米', '塔子山公园 705米', '塔子山公园(BRT) 773米', '双桥子南 560米', '双桥子公交站 711米'}","{'牛市口 712米', '东大路 456米'}"
32,4.2.2,155.37,高新区大源盛华南路80号 复地雍湖湾,560.0,"{'地铁大源站(D口) 595米', '地铁大源站(B口) 746米', '民乐村 373米', '剑南大道天府二街口 793米'}",{'大源 689米'}
46,3.2.3,215.28,锦江九眼桥宏顺街160号 新希望D10天府,1180.0,"{'双桥子 886米', '经华南路 908米', '水碾河路 754米', '牛市口 752米', '天府通(牛市口店) 948米', '陈家巷 317米'}",{'牛王庙 527米'}
6,2.1.1,93.51,蒲江蒲江城区广定路48号 广定公寓,48.5,"{'公安局 391米', '滨江新城 999米', '世纪广场 763米', '鹤山北路 734米', '江东国际 895米', '老东门桥 972米', '检察院 340米'}",set()
6,3.2.1,92.27,"金堂金堂城区金堂大道836号,成金大道666号 水城师苑",35.0,"{'迎宾加油站 973米', '水城师苑 149米', '金海岸3号门 719米', '明达玻璃厂 935米'}",set()
33,4.2.2,148.44,金牛茶店子育仁西路18号 龙湖西宸原著,375.0,"{'金牛立交 753米', '金牛立交南 472米', '茶店子客运站 356米', '地铁金牛公园站(C口) 850米', '育仁西路口 199米', '茶店子公交枢纽站 496米', '育仁公交站 218米', '茶店子公交站 467米'}","{'茶店子客运站 458米', '金牛公园 808米'}"
