楼层,房型,面积,房源地址及名称,价格,公交站距离,地铁站距离
30,4.2.2,266.21,锦江攀成钢通桂路7号 中洲中央城邦,888.0,"{'双桥子公交站 765米', '双桥子南 755米', '双桥子北 891米', '塔子山公园(BRT) 355米', '地铁万年场站 790米'}","{'东大路 824米', '万年场 808米'}"
30,3.2.2,100.85,锦江万达琉璃路123号 央湖名邸(一期),352.0,"{'华润路中 495米', '琉璃路二环路口 184米', '东光小区 735米', '成仁公交站 799米', '二环成仁公交站 902米', '琉璃路 284米', '翡翠城 520米'}","{'东湖公园 742米', '东光 416米'}"
16,3.2.1,91.46,新都大丰花都大道708号 北延风景,103.8,"{'民生新干线 358米', '三元大道 662米', '扬帆小学 713米', '大天路中 441米'}",{'石犀公园 177米'}
64,2.1.2,78.6,"锦江莲桂路顺江路335号,莲桂西路39号 嘉佰道",350.0,"{'莲桂南路 684米', '莲花小区 880米', '莲花一区 396米'}","{'顺江路 329米', '三官堂 823米', '三官堂 859米'}"
45,5.2.3,208.0,高新区世纪城世纪城路418号 龙湖世纪峰景,580.0,"{'公济桥路西 790米', '五岔子 328米'}",set()
11,4.2.2,129.6,成华杉板桥崔家店横二街42号 中粮锦云,485.0,"{'地铁东郊记忆站 678米', '奥园公交站 837米', '建设南支路 975米', '崔家店 471米'}","{'东郊记忆 768米', '崔家店 998米', '杉板桥 990米'}"
8,4.2.3,145.06,武侯外双楠太平园东三街85号 新界三期,348.0,"{'地铁太平园站(E口) 969米', '太平园横一街 198米', '地铁太平园站 951米', '太平园中四路 787米'}",{'太平园 903米'}
6,5.2.3,131.0,新都三河曲景路528号 荣盛香堤荣府,320.0,"{'泥巴沱森林公园 449米', '香洲半岛 718米', '佳乐国际城一期 484米', '绕城大道南一段 721米'}",set()
34,4.2.2,152.0,天府新区南湖南湖西路175号 南湖国际社区(南区),285.0,"{'地铁二江寺站 873米', '南湖南路中 454米', '南湖北路北 855米'}",{'二江寺 759米'}
21,4.2.2,110.42,"郫都犀浦两河东路319号,天辰路190号 万科城臻园",220.0,"{'万福村 833米', '地铁百草路站(C口) 672米', '成都公交保修公司 757米', '地铁百草路站 580米'}","{'百草路 637米', '晨风 973米'}"
15,3.2.2,121.0,郫都犀浦下街439号 城西阳光,115.0,"{'天府路南 821米', '学园路 646米', '天府路中段 964米', '犀浦公交站 648米', '犀浦 908米', '犀浦快铁站 938米', '红光大道龙吟路口 486米'}","{'犀浦 971米', '天河路 783米'}"
40,6.3.3,193.18,成华建设路踏水桥北街60号 首创天禧68,496.0,"{'府青路一环路立交桥 983米', '厂北路口 673米', '桃蹊路口(BRT) 189米', '二环府青立交 720米', '桃蹊路西 541米', '二环建设北路口 624米'}",{'踏水桥 508米'}
34,3.2.1,86.48,新都大丰翠杰路160号 融创凯旋东岸,112.0,{'大丰公交站 939米'},set()
30,3.2.2,103.37,"邛崃市邛崃城区司马大道228号,南宁街216号 司马赋",92.8,"{'玉带街 498米', '南河郡 653米'}",set()
8,5.2.3,199.23,温江光华大道清泉南街168号 8号公馆,350.0,"{'光华大道骑士大道口 566米', '鹏程小学 705米', '地铁涌泉站 321米', '涌泉西 630米', '清泉北街华新路口 767米', '花土路 904米'}",{'涌泉 304米'}
33,3.2.2,87.35,龙泉驿大面驿都西路3666号 炜岸城,132.0,"{'公园路口 576米', '龙城一号南大门 980米', '大面小学 747米', '大面铺 650米', '大面镇 202米', '南巷子 492米', '天鹅湖小学 621米', '天鹅西湖南路 790米'}",set()
31,3.2.2,100.0,成华龙潭寺桂林西路166号 华宇旭辉锦绣花城北区,200.0,"{'桂林西路 906米', '龙潭寺北 332米', '熊猫大道口 325米', '同乐北二巷 944米', '地铁同乐站 368米', '北湖公交站 476米', '北湖客运站 696米', '地铁同乐站(A口) 336米'}","{'桂林 935米', '同乐 298米'}"
33,3.2.2,111.88,温江温江城区柳南三路169号 银滩,107.0,"{'柳浪湾 293米', '城南实验学校 954米', '百信路 937米', '西南财经大学东门 681米', '地铁杨柳河站 332米'}",{'杨柳河 166米'}
34,4.2.2,116.0,天府新区海洋公园麓山大道一段630号 洛森堡碟郡新殿,179.0,"{'梓州大道麓山大道口 938米', '香沙路 626米', '麓山大道梓州大道口 544米'}",set()
11,5.2.3,183.34,青白江凤凰新城凤凰大道二段765号 凤凰岛,268.0,"{'区政务中心 173米', '凤凰西二路南 796米', '凤凰湖 873米', '招呼站 400米', '凤凰西二路北 589米', '青白江凤凰湖旅游景区 838米'}",set()
18,3.2.2,99.68,郫都蜀都万达五显庙下街271号 中建锦绣天地,126.0,"{'成灌路长清路口 747米', '快铁郫都站(万达广场) 449米', '快铁郫都区站(万达广场) 434米', '太双路同善桥路口 956米'}",set()
22,4.2.2,249.33,"青羊外金沙清波路77号,蜀鑫路51号 华润金悦湾",640.0,{'清波公交站 532米'},"{'金沙滨河公园 750米', '蜀鑫路 506米'}"
11,3.2.2,105.9,龙泉驿大面金枫路520号 龙湖三千庭,219.0,"{'龙城一号南大门 945米', '天鹅西湖南路 898米', '大面镇 899米', '金茶路天鹅西湖南路口 717米', '卓锦万黛 948米', '天鹅湖小学 341米', '南巷子 991米'}",set()
17,4.2.2,145.66,新都新都新城区育英路561号 川音嘉苑,155.0,"{'水沐天城 792米', '东骏湖景湾南门 556米', '北欧印象 785米', '香城中学 990米'}",set()
17,4.2.2,128.4,郫都德源展望西路39号 菁蓉滨湖湾清澜府,196.0,"{'菁蓉镇 941米', '红旗大道 876米', '有轨电车大禹东路站 465米', '有轨电车红展东路站 728米'}","{'红展东路 766米', '大禹东路 459米'}"
25,2.2.1,59.61,新都斑竹园憩园街三巷21号 北领峰尚,99.0,"{'北星大道兴贸大道口 858米', '海宁皮革城西门 933米', '北欧知识城 989米', '斑竹园路口 538米', '大江路口① 920米'}",set()
26,3.2.1,93.52,"天府新区海洋公园麓山大道一段219号,天府大道南段2399号 宏信南樾",158.0,"{'地铁海昌路站(D1口) 504米', '梓州大道麓山大道口 919米', '地铁海昌路站(C口) 724米', '麓山大道梓州大道口 646米', '华阳客运站 619米', '地铁海昌路站 606米', '地铁海昌路站(F口) 799米', '地铁海昌路站(A口) 829米'}",{'海昌路 760米'}
1,5.3.5,956.79,新津新津城区白云大道419号 龙湖长桥郡,1290.0,"{'老花源出场口 605米', '成都艺术学校 711米', '刘巷子 909米', '老花源场 928米', '大件路白云大道口 474米', '地铁花源站 780米'}",{'花源 927米'}
32,4.2.2,139.38,锦江攀成钢汇源东路99号 仁恒滨河湾(二期),570.0,"{'双桥子南 925米', '塔子山公园 730米', '地铁塔子山公园站D口 941米', '塔子山公园(BRT) 759米'}",{'东大路 383米'}
31,3.2.2,131.28,锦江攀成钢汇源北路99号 天誉,420.0,"{'双桥子北 965米', '塔子山公园 705米', '塔子山公园(BRT) 773米', '双桥子南 560米', '双桥子公交站 711米'}","{'牛市口 712米', '东大路 456米'}"
31,4.2.4,204.47,锦江攀成钢汇源北路99号 天誉,758.0,"{'双桥子北 965米', '塔子山公园 705米', '塔子山公园(BRT) 773米', '双桥子南 560米', '双桥子公交站 711米'}","{'牛市口 712米', '东大路 456米'}"
30,4.2.2,203.6,锦江攀成钢通盈街88号 绿地锦天府,658.0,"{'莲桂南路 779米', '二环成仁公交站 939米', '莲花一区 721米', '莲花小区 234米'}","{'三官堂 918米', '净居寺 969米', '净居寺 993米'}"
31,4.2.3,210.0,锦江攀成钢汇源北路99号 天誉,810.0,"{'双桥子北 965米', '塔子山公园 705米', '塔子山公园(BRT) 773米', '双桥子南 560米', '双桥子公交站 711米'}","{'牛市口 712米', '东大路 456米'}"
30,3.1.2,183.79,锦江攀成钢通盈街88号 绿地锦天府,620.0,"{'莲桂南路 779米', '二环成仁公交站 939米', '莲花一区 721米', '莲花小区 234米'}","{'三官堂 918米', '净居寺 969米', '净居寺 993米'}"
33,4.2.2,141.0,锦江沙河堡二郎山路66号 塔子山壹号,450.0,"{'地铁塔子山公园站D口 355米', '上沙河铺路 479米'}",{'塔子山公园 272米'}
32,4.2.2,154.32,锦江万达橡树林路166号 瑞升望江橡树林南院,408.0,"{'琉璃路二环路口 493米', '二环成仁公交站 784米', '琉璃路 756米', '成仁公交站 560米'}","{'三官堂 934米', '东光 809米', '三官堂 848米', '东湖公园 578米'}"
38,4.2.4,268.89,锦江攀成钢通宝街88号 伊泰天骄,1050.0,"{'莲花小区 647米', '牛市口 849米', '海椒市 704米', '天府通(牛市口店) 828米', '双桥子南 953米'}","{'东大路 676米', '牛市口 494米'}"
